"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.48% (15/1015)",4.226356e-07,6.37,"ENSG00000021645;ENSG00000026508;ENSG00000077942;ENSG00000095739;ENSG00000107731;ENSG00000113140;ENSG00000120885;ENSG00000125968;ENSG00000130203;ENSG00000131711;ENSG00000132688;ENSG00000167642;ENSG00000168036;ENSG00000169436;ENSG00000184402","NRXN3;CD44;FBLN1;BAMBI;UNC5B;SPARC;CLU;ID1;APOE;MAP1B;NES;SPINT2;CTNNB1;COL22A1;SS18L1"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.36% (10/736)",0.0001041195,3.98,"ENSG00000021645;ENSG00000077942;ENSG00000107731;ENSG00000125968;ENSG00000130203;ENSG00000131711;ENSG00000167642;ENSG00000168036;ENSG00000169436;ENSG00000184402","NRXN3;FBLN1;UNC5B;ID1;APOE;MAP1B;SPINT2;CTNNB1;COL22A1;SS18L1"
"3","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","1.85% (9/486)",2.253366e-05,4.65,"ENSG00000026508;ENSG00000113140;ENSG00000125363;ENSG00000152591;ENSG00000164190;ENSG00000166794;ENSG00000168036;ENSG00000182492;ENSG00000204248","CD44;SPARC;AMELX;DSPP;NIPBL;PPIB;CTNNB1;BGN;COL11A2"
"4","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","2.3% (9/392)",4.016249e-06,5.4,"ENSG00000095739;ENSG00000113140;ENSG00000125363;ENSG00000125968;ENSG00000152591;ENSG00000152592;ENSG00000164190;ENSG00000168036;ENSG00000204248","BAMBI;SPARC;AMELX;ID1;DSPP;DMP1;NIPBL;CTNNB1;COL11A2"
"5","GO:0001525","angiogenesis","Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels.","1.55% (8/516)",0.000231642,3.64,"ENSG00000021645;ENSG00000107731;ENSG00000113140;ENSG00000125968;ENSG00000132386;ENSG00000136859;ENSG00000168036;ENSG00000169436","NRXN3;UNC5B;SPARC;ID1;SERPINF1;ANGPTL2;CTNNB1;COL22A1"
"6","GO:0001568","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.","1.46% (10/687)",5.859234e-05,4.23,"ENSG00000021645;ENSG00000064195;ENSG00000107731;ENSG00000113140;ENSG00000125968;ENSG00000130203;ENSG00000132386;ENSG00000136859;ENSG00000168036;ENSG00000169436","NRXN3;DLX3;UNC5B;SPARC;ID1;APOE;SERPINF1;ANGPTL2;CTNNB1;COL22A1"
"7","GO:0001649","osteoblast differentiation","The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone.","2.29% (5/218)",0.0006825591,3.17,"ENSG00000095739;ENSG00000125363;ENSG00000125968;ENSG00000168036;ENSG00000204248","BAMBI;AMELX;ID1;CTNNB1;COL11A2"
"8","GO:0001885","endothelial cell development","The progression of an endothelial cell over time, from its formation to the mature structure.","4.41% (3/68)",0.001389271,2.86,"ENSG00000125968;ENSG00000168036;ENSG00000169436","ID1;CTNNB1;COL22A1"
"9","GO:0001886","endothelial cell morphogenesis","The change in form (cell shape and size) that occurs during the differentiation of an endothelial cell.","14.29% (2/14)",0.0009163896,3.04,"ENSG00000125968;ENSG00000169436","ID1;COL22A1"
"10","GO:0001942","hair follicle development","The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open.","3.37% (3/89)",0.003001514,2.52,"ENSG00000125285;ENSG00000154856;ENSG00000168036","SOX21;APCDD1;CTNNB1"
"11","GO:0001944","vasculature development","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism.","1.39% (10/718)",8.476758e-05,4.07,"ENSG00000021645;ENSG00000064195;ENSG00000107731;ENSG00000113140;ENSG00000125968;ENSG00000130203;ENSG00000132386;ENSG00000136859;ENSG00000168036;ENSG00000169436","NRXN3;DLX3;UNC5B;SPARC;ID1;APOE;SERPINF1;ANGPTL2;CTNNB1;COL22A1"
"12","GO:0002062","chondrocyte differentiation","The process in which a chondroblast acquires specialized structural and/or functional features of a chondrocyte. A chondrocyte is a polymorphic cell that forms cartilage.","2.91% (3/103)",0.004528211,2.34,"ENSG00000125363;ENSG00000168036;ENSG00000204248","AMELX;CTNNB1;COL11A2"
"13","GO:0002064","epithelial cell development","The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.","1.84% (4/217)",0.005309073,2.27,"ENSG00000125968;ENSG00000167642;ENSG00000168036;ENSG00000169436","ID1;SPINT2;CTNNB1;COL22A1"
