"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000768","syncytium formation by plasma membrane fusion","The formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane, by the fusion of the plasma membranes of two or more individual cells.","4.44% (2/45)",0.009350919,2.03,"ENSG00000010278;ENSG00000110651","CD9;CD81"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.09% (8/736)",0.00235092,2.63,"ENSG00000070831;ENSG00000111962;ENSG00000112137;ENSG00000117632;ENSG00000143320;ENSG00000154380;ENSG00000170017;ENSG00000182871","CDC42;UST;PHACTR1;STMN1;CRABP2;ENAH;ALCAM;COL18A1"
"3","GO:0001523","retinoid metabolic process","The chemical reactions and pathways involving retinoids, any member of a class of isoprenoids that contain or are derived from four prenyl groups linked head-to-tail. Retinoids include retinol and retinal and structurally similar natural derivatives or synthetic compounds, but need not have vitamin A activity.","4.88% (4/82)",0.0001423265,3.85,"ENSG00000115884;ENSG00000142798;ENSG00000143320;ENSG00000147257","SDC1;HSPG2;CRABP2;GPC3"
"4","GO:0002376","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats.","0.69% (18/2610)",0.0008957056,3.05,"ENSG00000010278;ENSG00000035862;ENSG00000070831;ENSG00000082781;ENSG00000091409;ENSG00000095015;ENSG00000110651;ENSG00000115884;ENSG00000117523;ENSG00000121210;ENSG00000139644;ENSG00000145824;ENSG00000147257;ENSG00000164093;ENSG00000170017;ENSG00000189403;ENSG00000196230;ENSG00000272398","CD9;TIMP2;CDC42;ITGB5;ITGA6;MAP3K1;CD81;SDC1;PRRC2C;TMEM131L;TMBIM6;CXCL14;GPC3;PITX2;ALCAM;HMGB1;TUBB;CD24"
"5","GO:0002685","regulation of leukocyte migration","Any process that modulates the frequency, rate, or extent of leukocyte migration.","2.13% (4/188)",0.003189406,2.5,"ENSG00000010278;ENSG00000110651;ENSG00000145824;ENSG00000189403","CD9;CD81;CXCL14;HMGB1"
"6","GO:0003161","cardiac conduction system development","The process whose specific outcome is the progression of the cardiac conduction system over time, from its formation to the mature structure. The cardiac conduction system consists of specialized cardiomyocytes that regulate the frequency of heart beat.","16.67% (2/12)",0.0006673965,3.18,"ENSG00000046604;ENSG00000070831","DSG2;CDC42"
"7","GO:0006022","aminoglycan metabolic process","The chemical reactions and pathways involving aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.","2.5% (4/160)",0.001777846,2.75,"ENSG00000111962;ENSG00000115884;ENSG00000142798;ENSG00000147257","UST;SDC1;HSPG2;GPC3"
"8","GO:0006023","aminoglycan biosynthetic process","The chemical reactions and pathways resulting in the formation of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.","3.64% (4/110)",0.0004395201,3.36,"ENSG00000111962;ENSG00000115884;ENSG00000142798;ENSG00000147257","UST;SDC1;HSPG2;GPC3"
"9","GO:0006024","glycosaminoglycan biosynthetic process","The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars.","3.85% (4/104)",0.0003550891,3.45,"ENSG00000111962;ENSG00000115884;ENSG00000142798;ENSG00000147257","UST;SDC1;HSPG2;GPC3"
"10","GO:0006026","aminoglycan catabolic process","The chemical reactions and pathways resulting in the breakdown of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.","4.84% (3/62)",0.001062816,2.97,"ENSG00000115884;ENSG00000142798;ENSG00000147257","SDC1;HSPG2;GPC3"
