"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.075% (11/1023)",0.000222507,3.65,"ENSG00000044524;ENSG00000116106;ENSG00000137872;ENSG00000148498;ENSG00000149294;ENSG00000169306;ENSG00000169554;ENSG00000174469;ENSG00000184347;ENSG00000185008;ENSG00000185070","EPHA3;EPHA4;SEMA6D;PARD3;NCAM1;IL1RAPL1;ZEB2;CNTNAP2;SLIT3;ROBO2;FLRT2"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.342% (10/745)",7.438518e-05,4.13,"ENSG00000044524;ENSG00000116106;ENSG00000137872;ENSG00000148498;ENSG00000149294;ENSG00000169306;ENSG00000169554;ENSG00000184347;ENSG00000185008;ENSG00000185070","EPHA3;EPHA4;SEMA6D;PARD3;NCAM1;IL1RAPL1;ZEB2;SLIT3;ROBO2;FLRT2"
"3","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","1.21% (6/496)",0.004028883,2.39,"ENSG00000077092;ENSG00000104447;ENSG00000116132;ENSG00000119042;ENSG00000124813;ENSG00000186153","RARB;TRPS1;PRRX1;SATB2;RUNX2;WWOX"
"4","GO:0001554","luteolysis","The lysis or structural demise of the corpus luteum. During normal luteolysis, two closely related events occur. First, there is loss of the capacity to synthesize and secrete progesterone (functional luteolysis) followed by loss of the cells that comprise the corpus luteum (structural luteolysis). Preventing luteolysis is crucial to maintain pregnancy.","28.571% (2/7)",0.0001943132,3.71,"ENSG00000184347;ENSG00000185008","SLIT3;ROBO2"
"5","GO:0001649","osteoblast differentiation","The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone.","1.818% (4/220)",0.004668832,2.33,"ENSG00000119042;ENSG00000124813;ENSG00000184304;ENSG00000186153","SATB2;RUNX2;PRKD1;WWOX"
"6","GO:0001655","urogenital system development","The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure.","1.493% (5/335)",0.00361447,2.44,"ENSG00000077092;ENSG00000116106;ENSG00000122870;ENSG00000162849;ENSG00000185008","RARB;EPHA4;BICC1;KIF26B;ROBO2"
"7","GO:0001657","ureteric bud development","The process whose specific outcome is the progression of the ureteric bud over time, from its formation to the mature structure.","3.158% (3/95)",0.00313652,2.5,"ENSG00000077092;ENSG00000162849;ENSG00000185008","RARB;KIF26B;ROBO2"
"8","GO:0001667","ameboidal-type cell migration","Cell migration that is accomplished by extension and retraction of a pseudopodium.","1.185% (5/422)",0.009453874,2.02,"ENSG00000112562;ENSG00000137872;ENSG00000162407;ENSG00000169554;ENSG00000184304","SMOC2;SEMA6D;PLPP3;ZEB2;PRKD1"
"9","GO:0001764","neuron migration","The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.","2.516% (4/159)",0.001445397,2.84,"ENSG00000119042;ENSG00000150471;ENSG00000185070;ENSG00000185532","SATB2;ADGRL3;FLRT2;PRKG1"
"10","GO:0001822","kidney development","The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine.","1.712% (5/292)",0.001998104,2.7,"ENSG00000077092;ENSG00000116106;ENSG00000122870;ENSG00000162849;ENSG00000185008","RARB;EPHA4;BICC1;KIF26B;ROBO2"
"11","GO:0001823","mesonephros development","The process whose specific outcome is the progression of the mesonephros over time, from its formation to the mature structure. In mammals, the mesonephros is the second of the three embryonic kidneys to be established and exists only transiently. In lower vertebrates such as fish and amphibia, the mesonephros will form the mature kidney.","3% (3/100)",0.003624942,2.44,"ENSG00000077092;ENSG00000162849;ENSG00000185008","RARB;KIF26B;ROBO2"
"12","GO:0002062","chondrocyte differentiation","The process in which a chondroblast acquires specialized structural and/or functional features of a chondrocyte. A chondrocyte is a polymorphic cell that forms cartilage.","2.804% (3/107)",0.00438308,2.36,"ENSG00000077092;ENSG00000104447;ENSG00000124813","RARB;TRPS1;RUNX2"
"13","GO:0002076","osteoblast development","The process whose specific outcome is the progression of an osteoblast over time, from its formation to the mature structure. Osteoblast development does not include the steps involved in committing a cranial neural crest cell or an osteoprogenitor cell to an osteoblast fate. An osteoblast is a cell that gives rise to bone.","10.526% (2/19)",0.001545292,2.81,"ENSG00000119042;ENSG00000124813","SATB2;RUNX2"
