"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000165","MAPK cascade","An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell.","0.926% (8/864)",0.005945778,2.23,"ENSG00000077942;ENSG00000097007;ENSG00000100234;ENSG00000101144;ENSG00000115306;ENSG00000115414;ENSG00000131016;ENSG00000138448","FBLN1;ABL1;TIMP3;BMP7;SPTBN1;FN1;AKAP12;ITGAV"
"2","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.271% (13/1023)",1.439809e-05,4.84,"ENSG00000035403;ENSG00000050555;ENSG00000077942;ENSG00000087274;ENSG00000091136;ENSG00000097007;ENSG00000101144;ENSG00000115306;ENSG00000115414;ENSG00000133110;ENSG00000136068;ENSG00000138448;ENSG00000163697","VCL;LAMC3;FBLN1;ADD1;LAMB1;ABL1;BMP7;SPTBN1;FN1;POSTN;FLNB;ITGAV;APBB2"
"3","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.611% (12/745)",3.017639e-06,5.52,"ENSG00000035403;ENSG00000050555;ENSG00000077942;ENSG00000091136;ENSG00000097007;ENSG00000101144;ENSG00000115306;ENSG00000115414;ENSG00000133110;ENSG00000136068;ENSG00000138448;ENSG00000163697","VCL;LAMC3;FBLN1;LAMB1;ABL1;BMP7;SPTBN1;FN1;POSTN;FLNB;ITGAV;APBB2"
"4","GO:0001101","response to acid chemical","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form.","2.985% (4/134)",0.0008974659,3.05,"ENSG00000084636;ENSG00000142156;ENSG00000168542;ENSG00000187498","COL16A1;COL6A1;COL3A1;COL4A1"
"5","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","1.21% (6/496)",0.00496814,2.3,"ENSG00000060718;ENSG00000090863;ENSG00000101144;ENSG00000157227;ENSG00000166147;ENSG00000168542","COL11A1;GLG1;BMP7;MMP14;FBN1;COL3A1"
"6","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","2.01% (8/398)",3.608701e-05,4.44,"ENSG00000060718;ENSG00000101144;ENSG00000115461;ENSG00000142156;ENSG00000147257;ENSG00000157227;ENSG00000167460;ENSG00000183023","COL11A1;BMP7;IGFBP5;COL6A1;GPC3;MMP14;TPM4;SLC8A1"
"7","GO:0001525","angiogenesis","Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels.","1.338% (7/523)",0.001339503,2.87,"ENSG00000011465;ENSG00000097007;ENSG00000115414;ENSG00000134871;ENSG00000138448;ENSG00000157227;ENSG00000187498","DCN;ABL1;FN1;COL4A2;ITGAV;MMP14;COL4A1"
"8","GO:0001558","regulation of cell growth","Any process that modulates the frequency, rate, extent or direction of cell growth.","1.474% (6/407)",0.001869552,2.73,"ENSG00000097007;ENSG00000115414;ENSG00000115461;ENSG00000122641;ENSG00000157227;ENSG00000163697","ABL1;FN1;IGFBP5;INHBA;MMP14;APBB2"
"9","GO:0001568","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.","1.443% (10/693)",5.909315e-05,4.23,"ENSG00000011465;ENSG00000097007;ENSG00000101144;ENSG00000115414;ENSG00000134871;ENSG00000138448;ENSG00000147257;ENSG00000157227;ENSG00000168542;ENSG00000187498","DCN;ABL1;BMP7;FN1;COL4A2;ITGAV;GPC3;MMP14;COL3A1;COL4A1"
"10","GO:0001569","branching involved in blood vessel morphogenesis","The process of coordinated growth and sprouting of blood vessels giving rise to the organized vascular system.","6.061% (2/33)",0.005036245,2.3,"ENSG00000097007;ENSG00000187498","ABL1;COL4A1"
