"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000165","MAPK cascade","An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell.","0.926% (8/864)",0.007600104,2.12,"ENSG00000070193;ENSG00000102466;ENSG00000129682;ENSG00000150672;ENSG00000156299;ENSG00000169071;ENSG00000169855;ENSG00000198947","FGF10;FGF14;FGF13;DLG2;TIAM1;ROR2;ROBO1;DMD"
"2","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.466% (15/1023)",7.547108e-07,6.12,"ENSG00000106571;ENSG00000129682;ENSG00000140937;ENSG00000146247;ENSG00000150275;ENSG00000153707;ENSG00000154162;ENSG00000156299;ENSG00000158321;ENSG00000164741;ENSG00000169760;ENSG00000169855;ENSG00000184349;ENSG00000188517;ENSG00000198947","GLI3;FGF13;CDH11;PHIP;PCDH15;PTPRD;CDH12;TIAM1;AUTS2;DLC1;NLGN1;ROBO1;EFNA5;COL25A1;DMD"
"3","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.477% (11/745)",2.852635e-05,4.54,"ENSG00000106571;ENSG00000129682;ENSG00000140937;ENSG00000150275;ENSG00000153707;ENSG00000156299;ENSG00000158321;ENSG00000169760;ENSG00000169855;ENSG00000184349;ENSG00000188517","GLI3;FGF13;CDH11;PCDH15;PTPRD;TIAM1;AUTS2;NLGN1;ROBO1;EFNA5;COL25A1"
"4","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","1.411% (7/496)",0.001255254,2.9,"ENSG00000106571;ENSG00000134532;ENSG00000140937;ENSG00000145681;ENSG00000147655;ENSG00000149948;ENSG00000169071","GLI3;SOX5;CDH11;HAPLN1;RSPO2;HMGA2;ROR2"
"5","GO:0001502","cartilage condensation","The condensation of mesenchymal cells that have been committed to differentiate into chondrocytes.","10% (2/20)",0.002014791,2.7,"ENSG00000134532;ENSG00000169071","SOX5;ROR2"
"6","GO:0001736","establishment of planar polarity","Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates.","2.362% (3/127)",0.008841394,2.05,"ENSG00000156299;ENSG00000169071;ENSG00000183098","TIAM1;ROR2;GPC6"
"7","GO:0001759","organ induction","The interaction of two or more cells or tissues that causes them to change their fates and specify the development of an organ.","8.696% (2/23)",0.002665675,2.57,"ENSG00000070193;ENSG00000169855","FGF10;ROBO1"
"8","GO:0001932","regulation of protein phosphorylation","Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein.","1.059% (12/1133)",0.0002870185,3.54,"ENSG00000064042;ENSG00000070193;ENSG00000078295;ENSG00000113448;ENSG00000129682;ENSG00000146247;ENSG00000149948;ENSG00000156299;ENSG00000169071;ENSG00000169855;ENSG00000184349;ENSG00000198947","LIMCH1;FGF10;ADCY2;PDE4D;FGF13;PHIP;HMGA2;TIAM1;ROR2;ROBO1;EFNA5;DMD"
"9","GO:0001934","positive regulation of protein phosphorylation","Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein.","1.163% (9/774)",0.0009686068,3.01,"ENSG00000064042;ENSG00000070193;ENSG00000078295;ENSG00000129682;ENSG00000149948;ENSG00000156299;ENSG00000169071;ENSG00000169855;ENSG00000184349","LIMCH1;FGF10;ADCY2;FGF13;HMGA2;TIAM1;ROR2;ROBO1;EFNA5"
"10","GO:0001952","regulation of cell-matrix adhesion","Any process that modulates the frequency, rate or extent of attachment of a cell to the extracellular matrix.","3.306% (4/121)",0.0007133242,3.15,"ENSG00000064042;ENSG00000164741;ENSG00000184349;ENSG00000198947","LIMCH1;DLC1;EFNA5;DMD"
"11","GO:0002009","morphogenesis of an epithelium","The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube.","1.434% (8/558)",0.0004936082,3.31,"ENSG00000070193;ENSG00000106571;ENSG00000147655;ENSG00000150275;ENSG00000156299;ENSG00000164741;ENSG00000169071;ENSG00000183098","FGF10;GLI3;RSPO2;PCDH15;TIAM1;DLC1;ROR2;GPC6"
"12","GO:0002028","regulation of sodium ion transport","Any process that modulates the frequency, rate or extent of the directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","3.571% (3/84)",0.002794866,2.55,"ENSG00000102466;ENSG00000129682;ENSG00000198947","FGF14;FGF13;DMD"
"13","GO:0002062","chondrocyte differentiation","The process in which a chondroblast acquires specialized structural and/or functional features of a chondrocyte. A chondrocyte is a polymorphic cell that forms cartilage.","2.804% (3/107)",0.005516172,2.26,"ENSG00000106571;ENSG00000134532;ENSG00000149948","GLI3;SOX5;HMGA2"
"14","GO:0003156","regulation of animal organ formation","Any process that modulates the rate, frequency or extent of animal organ formation. Organ formation is the process pertaining to the initial formation of an organ from unspecified parts. The process begins with the specific processes that contribute to the appearance of the discrete structure, such as inductive events, and ends when the structural rudiment of the organ is recognizable, such as a condensation of mesenchymal cells into the organ rudiment.","7.143% (2/28)",0.003940337,2.4,"ENSG00000070193;ENSG00000169855","FGF10;ROBO1"
"15","GO:0006464","cellular protein modification process","The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification).","0.624% (23/3688)",0.0008884741,3.05,"ENSG00000048052;ENSG00000064042;ENSG00000070193;ENSG00000078295;ENSG00000113448;ENSG00000129682;ENSG00000133687;ENSG00000144724;ENSG00000145730;ENSG00000146247;ENSG00000149948;ENSG00000150687;ENSG00000153707;ENSG00000156299;ENSG00000158321;ENSG00000164741;ENSG00000169071;ENSG00000169855;ENSG00000174473;ENSG00000183580;ENSG00000184349;ENSG00000198947;ENSG00000204406","HDAC9;LIMCH1;FGF10;ADCY2;PDE4D;FGF13;TMTC1;PTPRG;PAM;PHIP;HMGA2;PRSS23;PTPRD;TIAM1;AUTS2;DLC1;ROR2;ROBO1;GALNTL6;FBXL7;EFNA5;DMD;MBD5"
"16","GO:0006468","protein phosphorylation","The process of introducing a phosphate group on to a protein.","0.784% (12/1531)",0.003977633,2.4,"ENSG00000064042;ENSG00000070193;ENSG00000078295;ENSG00000113448;ENSG00000129682;ENSG00000146247;ENSG00000149948;ENSG00000156299;ENSG00000169071;ENSG00000169855;ENSG00000184349;ENSG00000198947","LIMCH1;FGF10;ADCY2;PDE4D;FGF13;PHIP;HMGA2;TIAM1;ROR2;ROBO1;EFNA5;DMD"
