"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.08% (11/1015)",0.0002222048,3.65,"ENSG00000066468;ENSG00000106571;ENSG00000111249;ENSG00000112902;ENSG00000135333;ENSG00000151892;ENSG00000152767;ENSG00000155974;ENSG00000182197;ENSG00000185070;ENSG00000257923","FGFR2;GLI3;CUX2;SEMA5A;EPHA7;GFRA1;FARP1;GRIP1;EXT1;FLRT2;CUX1"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.36% (10/736)",7.165579e-05,4.14,"ENSG00000066468;ENSG00000106571;ENSG00000111249;ENSG00000112902;ENSG00000135333;ENSG00000151892;ENSG00000152767;ENSG00000182197;ENSG00000185070;ENSG00000257923","FGFR2;GLI3;CUX2;SEMA5A;EPHA7;GFRA1;FARP1;EXT1;FLRT2;CUX1"
"3","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","1.44% (7/486)",0.0007077282,3.15,"ENSG00000066468;ENSG00000077092;ENSG00000106571;ENSG00000120549;ENSG00000149948;ENSG00000182197;ENSG00000185630","FGFR2;RARB;GLI3;KIAA1217;HMGA2;EXT1;PBX1"
"4","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","1.28% (5/392)",0.007215413,2.14,"ENSG00000066468;ENSG00000106571;ENSG00000182197;ENSG00000185630;ENSG00000205213","FGFR2;GLI3;EXT1;PBX1;LGR4"
"5","GO:0001655","urogenital system development","The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure.","2.67% (9/337)",7.995003e-07,6.1,"ENSG00000066468;ENSG00000077092;ENSG00000106571;ENSG00000135333;ENSG00000138759;ENSG00000162599;ENSG00000182197;ENSG00000185630;ENSG00000205213","FGFR2;RARB;GLI3;EPHA7;FRAS1;NFIA;EXT1;PBX1;LGR4"
"6","GO:0001656","metanephros development","The process whose specific outcome is the progression of the metanephros over time, from its formation to the mature structure. In mammals, the metanephros is the excretory organ of the fetus, which develops into the mature kidney and is formed from the rear portion of the nephrogenic cord. The metanephros is an endocrine and metabolic organ that filters the blood and excretes the end products of body metabolism in the form of urine.","3.53% (3/85)",0.002337277,2.63,"ENSG00000106571;ENSG00000138759;ENSG00000205213","GLI3;FRAS1;LGR4"
"7","GO:0001657","ureteric bud development","The process whose specific outcome is the progression of the ureteric bud over time, from its formation to the mature structure.","5.38% (5/93)",9.961137e-06,5,"ENSG00000066468;ENSG00000077092;ENSG00000106571;ENSG00000185630;ENSG00000205213","FGFR2;RARB;GLI3;PBX1;LGR4"
"8","GO:0001658","branching involved in ureteric bud morphogenesis","The process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules.","5.56% (3/54)",0.0006279011,3.2,"ENSG00000106571;ENSG00000185630;ENSG00000205213","GLI3;PBX1;LGR4"
"9","GO:0001704","formation of primary germ layer","The formation of the ectoderm, mesoderm and endoderm during gastrulation.","2.61% (3/115)",0.005474743,2.26,"ENSG00000066468;ENSG00000131558;ENSG00000149948","FGFR2;EXOC4;HMGA2"
"10","GO:0001707","mesoderm formation","The process that gives rise to the mesoderm. This process pertains to the initial formation of the structure from unspecified parts.","4.41% (3/68)",0.001230579,2.91,"ENSG00000066468;ENSG00000131558;ENSG00000149948","FGFR2;EXOC4;HMGA2"
