"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.173% (12/1023)",0.0001100677,3.96,"ENSG00000047579;ENSG00000112902;ENSG00000113140;ENSG00000120885;ENSG00000131711;ENSG00000132688;ENSG00000133083;ENSG00000157168;ENSG00000162105;ENSG00000169436;ENSG00000189171;ENSG00000206052","DTNBP1;SEMA5A;SPARC;CLU;MAP1B;NES;DCLK1;NRG1;SHANK2;COL22A1;S100A13;DOK6"
"2","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","2.419% (12/496)",6.31207e-08,7.2,"ENSG00000077782;ENSG00000099139;ENSG00000102174;ENSG00000108821;ENSG00000113140;ENSG00000151388;ENSG00000152591;ENSG00000164692;ENSG00000182492;ENSG00000183682;ENSG00000196739;ENSG00000204248","FGFR1;PCSK5;PHEX;COL1A1;SPARC;ADAMTS12;DSPP;COL1A2;BGN;BMP8A;COL27A1;COL11A2"
"3","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","2.261% (9/398)",6.037978e-06,5.22,"ENSG00000102174;ENSG00000108821;ENSG00000113140;ENSG00000152591;ENSG00000152592;ENSG00000157613;ENSG00000164692;ENSG00000183682;ENSG00000204248","PHEX;COL1A1;SPARC;DSPP;DMP1;CREB3L1;COL1A2;BMP8A;COL11A2"
"4","GO:0001568","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.","1.299% (9/693)",0.000437689,3.36,"ENSG00000077782;ENSG00000099139;ENSG00000108821;ENSG00000112902;ENSG00000113140;ENSG00000157483;ENSG00000157613;ENSG00000164692;ENSG00000169436","FGFR1;PCSK5;COL1A1;SEMA5A;SPARC;MYO1E;CREB3L1;COL1A2;COL22A1"
"5","GO:0001655","urogenital system development","The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure.","1.493% (5/335)",0.005154003,2.29,"ENSG00000077782;ENSG00000099139;ENSG00000157483;ENSG00000170873;ENSG00000187391","FGFR1;PCSK5;MYO1E;MTSS1;MAGI2"
"6","GO:0001764","neuron migration","The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.","2.516% (4/159)",0.00196071,2.71,"ENSG00000077782;ENSG00000131711;ENSG00000133083;ENSG00000157168","FGFR1;MAP1B;DCLK1;NRG1"
"7","GO:0001822","kidney development","The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine.","1.712% (5/292)",0.002875342,2.54,"ENSG00000077782;ENSG00000099139;ENSG00000157483;ENSG00000170873;ENSG00000187391","FGFR1;PCSK5;MYO1E;MTSS1;MAGI2"
"8","GO:0001944","vasculature development","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism.","1.243% (9/724)",0.0006011277,3.22,"ENSG00000077782;ENSG00000099139;ENSG00000108821;ENSG00000112902;ENSG00000113140;ENSG00000157483;ENSG00000157613;ENSG00000164692;ENSG00000169436","FGFR1;PCSK5;COL1A1;SEMA5A;SPARC;MYO1E;CREB3L1;COL1A2;COL22A1"
"9","GO:0002062","chondrocyte differentiation","The process in which a chondroblast acquires specialized structural and/or functional features of a chondrocyte. A chondrocyte is a polymorphic cell that forms cartilage.","3.738% (4/107)",0.0004485062,3.35,"ENSG00000077782;ENSG00000151388;ENSG00000196739;ENSG00000204248","FGFR1;ADAMTS12;COL27A1;COL11A2"
"10","GO:0002064","epithelial cell development","The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.","1.826% (4/219)",0.006156129,2.21,"ENSG00000077782;ENSG00000157483;ENSG00000169436;ENSG00000187391","FGFR1;MYO1E;COL22A1;MAGI2"
"11","GO:0002576","platelet degranulation","The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet.","2.655% (3/113)",0.006416178,2.19,"ENSG00000113140;ENSG00000120885;ENSG00000169851","SPARC;CLU;PCDH7"
"12","GO:0003014","renal system process","A organ system process carried out by any of the organs or tissues of the renal system. The renal system maintains fluid balance, and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels; in other species, the renal system may comprise related structures (e.g., nephrocytes and malpighian tubules in Drosophila).","2.679% (3/112)",0.006260476,2.2,"ENSG00000099139;ENSG00000156113;ENSG00000157483","PCSK5;KCNMA1;MYO1E"
"13","GO:0003158","endothelium development","The process whose specific outcome is the progression of an endothelium over time, from its formation to the mature structure. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells.","2.308% (3/130)",0.009421833,2.03,"ENSG00000151388;ENSG00000157168;ENSG00000169436","ADAMTS12;NRG1;COL22A1"
"14","GO:0006688","glycosphingolipid biosynthetic process","The chemical reactions and pathways resulting in the formation of glycosphingolipid, a compound with residues of sphingoid and at least one monosaccharide.","6.897% (2/29)",0.004223176,2.37,"ENSG00000111728;ENSG00000133424","ST8SIA1;LARGE1"
"15","GO:0006810","transport","The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein.","0.531% (25/4705)",0.005141082,2.29,"ENSG00000023171;ENSG00000047579;ENSG00000077782;ENSG00000092439;ENSG00000099139;ENSG00000108821;ENSG00000113140;ENSG00000120885;ENSG00000127946;ENSG00000131711;ENSG00000133083;ENSG00000144290;ENSG00000151914;ENSG00000152818;ENSG00000156113;ENSG00000157168;ENSG00000157483;ENSG00000157613;ENSG00000157985;ENSG00000162105;ENSG00000169507;ENSG00000169851;ENSG00000183682;ENSG00000187391;ENSG00000189171","GRAMD1B;DTNBP1;FGFR1;TRPM7;PCSK5;COL1A1;SPARC;CLU;HIP1;MAP1B;DCLK1;SLC4A10;DST;UTRN;KCNMA1;NRG1;MYO1E;CREB3L1;AGAP1;SHANK2;SLC38A11;PCDH7;BMP8A;MAGI2;S100A13"
