"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000003","reproduction","The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.","0.77% (10/1304)",0.006010345,2.22,"ENSG00000047188;ENSG00000101439;ENSG00000105894;ENSG00000108984;ENSG00000110092;ENSG00000141696;ENSG00000169504;ENSG00000179218;ENSG00000197746;ENSG00000253729","YTHDC2;CST3;PTN;MAP2K6;CCND1;P3H4;CLIC4;CALR;PSAP;PRKDC"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","0.95% (7/736)",0.007303757,2.14,"ENSG00000092964;ENSG00000100503;ENSG00000105894;ENSG00000169504;ENSG00000179218;ENSG00000196405;ENSG00000253729","DPYSL2;NIN;PTN;CLIC4;CALR;EVL;PRKDC"
"3","GO:0001101","response to acid chemical","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form.","1.47% (5/340)",0.00397754,2.4,"ENSG00000105894;ENSG00000112655;ENSG00000163347;ENSG00000178691;ENSG00000278540","PTN;PTK7;CLDN1;SUZ12;ACACA"
"4","GO:0001754","eye photoreceptor cell differentiation","The process in which a relatively unspecialized cell acquires the specialized features of a photoreceptor cell, as found in the eye, the primary visual organ of most organisms.","4.65% (2/43)",0.00790089,2.1,"ENSG00000105894;ENSG00000198707","PTN;CEP290"
"5","GO:0001889","liver development","The process whose specific outcome is the progression of the liver over time, from its formation to the mature structure. The liver is an exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes.","2.24% (3/134)",0.008343857,2.08,"ENSG00000105894;ENSG00000110092;ENSG00000163347","PTN;CCND1;CLDN1"
"6","GO:0002064","epithelial cell development","The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.","1.84% (4/217)",0.004570009,2.34,"ENSG00000101439;ENSG00000163347;ENSG00000169504;ENSG00000197746","CST3;CLDN1;CLIC4;PSAP"
"7","GO:0003158","endothelium development","The process whose specific outcome is the progression of an endothelium over time, from its formation to the mature structure. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells.","2.33% (3/129)",0.007518526,2.12,"ENSG00000105894;ENSG00000163347;ENSG00000169504","PTN;CLDN1;CLIC4"
"8","GO:0006464","cellular protein modification process","The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification).","0.54% (21/3892)",0.00380364,2.42,"ENSG00000001629;ENSG00000083444;ENSG00000101439;ENSG00000104723;ENSG00000105894;ENSG00000108984;ENSG00000110092;ENSG00000112655;ENSG00000132128;ENSG00000141696;ENSG00000141753;ENSG00000143870;ENSG00000145860;ENSG00000150593;ENSG00000162576;ENSG00000170142;ENSG00000172986;ENSG00000178691;ENSG00000197746;ENSG00000198380;ENSG00000253729","ANKIB1;PLOD1;CST3;TUSC3;PTN;MAP2K6;CCND1;PTK7;LRRC41;P3H4;IGFBP4;PDIA6;RNF145;PDCD4;MXRA8;UBE2E1;GXYLT2;SUZ12;PSAP;GFPT1;PRKDC"
"9","GO:0006820","anion transport","The directed movement of anions, atoms or small molecules with a net negative charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","1.15% (7/609)",0.002596727,2.59,"ENSG00000092964;ENSG00000108984;ENSG00000123983;ENSG00000169504;ENSG00000188536;ENSG00000197746;ENSG00000278540","DPYSL2;MAP2K6;ACSL3;CLIC4;HBA2;PSAP;ACACA"
"10","GO:0006986","response to unfolded protein","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus.","2.25% (4/178)",0.002245959,2.65,"ENSG00000110092;ENSG00000143870;ENSG00000179218;ENSG00000198380","CCND1;PDIA6;CALR;GFPT1"
