"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0001775","cell activation","A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand.","0.88% (11/1256)",0.00192922,2.71,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000102554;ENSG00000133710;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;KLF5;SPINK5;DSG1;ANXA1;S100A8;CSTB;S100A9;ANXA2"
"2","GO:0002252","immune effector process","Any process of the immune system that can potentially contribute to an immune response.","0.96% (10/1039)",0.001595335,2.8,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000133710;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;SPINK5;DSG1;ANXA1;S100A8;CSTB;S100A9;ANXA2"
"3","GO:0002263","cell activation involved in immune response","A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response.","1.43% (9/631)",0.0001689081,3.77,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;ANXA1;S100A8;CSTB;S100A9;ANXA2"
"4","GO:0002274","myeloid leukocyte activation","A change in the morphology or behavior of a myeloid leukocyte resulting from exposure to an activating factor such as a cellular or soluble ligand.","1.36% (8/590)",0.0005683811,3.25,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;S100A8;CSTB;S100A9;ANXA2"
"5","GO:0002275","myeloid cell activation involved in immune response","A change in the morphology or behavior of a myeloid cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response.","1.62% (8/493)",0.0001697254,3.77,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;S100A8;CSTB;S100A9;ANXA2"
"6","GO:0002283","neutrophil activation involved in immune response","The change in morphology and behavior of a neutrophil resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response.","1.82% (8/440)",7.72529e-05,4.11,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;S100A8;CSTB;S100A9;ANXA2"
"7","GO:0002366","leukocyte activation involved in immune response","A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response.","1.44% (9/627)",0.000161016,3.79,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;ANXA1;S100A8;CSTB;S100A9;ANXA2"
"8","GO:0002376","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats.","0.61% (16/2610)",0.006548679,2.18,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000133710;ENSG00000134138;ENSG00000134760;ENSG00000135046;ENSG00000136689;ENSG00000143546;ENSG00000143995;ENSG00000160213;ENSG00000163220;ENSG00000163694;ENSG00000182718;ENSG00000186832;ENSG00000205420","PLD1;PKP1;DSP;SPINK5;MEIS2;DSG1;ANXA1;IL1RN;S100A8;MEIS1;CSTB;S100A9;RBM47;ANXA2;KRT16;KRT6A"
"9","GO:0002443","leukocyte mediated immunity","Any process involved in the carrying out of an immune response by a leukocyte.","1.18% (8/680)",0.001427878,2.85,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;S100A8;CSTB;S100A9;ANXA2"
"10","GO:0002444","myeloid leukocyte mediated immunity","Any process involved in the carrying out of an immune response by a myeloid leukocyte.","1.61% (8/498)",0.0001818609,3.74,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;S100A8;CSTB;S100A9;ANXA2"
"11","GO:0002446","neutrophil mediated immunity","Any process involved in the carrying out of an immune response by a neutrophil.","1.78% (8/449)",8.897421e-05,4.05,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;S100A8;CSTB;S100A9;ANXA2"
"12","GO:0002523","leukocyte migration involved in inflammatory response","The movement of a leukocyte within or between different tissues and organs of the body contributing to an inflammatory response.","14.29% (2/14)",0.0009163896,3.04,"ENSG00000143546;ENSG00000163220","S100A8;S100A9"
"13","GO:0002544","chronic inflammatory response","Inflammation of prolonged duration (weeks or months) in which active inflammation, tissue destruction, and attempts at repair are proceeding simultaneously. Although it may follow acute inflammation, chronic inflammation frequently begins insidiously, as a low-grade, smoldering, often asymptomatic response.","13.33% (2/15)",0.001055183,2.98,"ENSG00000143546;ENSG00000163220","S100A8;S100A9"
"14","GO:0006882","cellular zinc ion homeostasis","Any process involved in the maintenance of an internal steady state of zinc ions at the level of a cell.","6.67% (2/30)",0.004237856,2.37,"ENSG00000143546;ENSG00000163220","S100A8;S100A9"
"15","GO:0006887","exocytosis","A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell.","1.18% (10/845)",0.0003206746,3.49,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000144036;ENSG00000160213;ENSG00000163220;ENSG00000182718","PLD1;PKP1;DSP;DSG1;ANXA1;S100A8;EXOC6B;CSTB;S100A9;ANXA2"
"16","GO:0006955","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.","0.76% (13/1720)",0.002653881,2.58,"ENSG00000075651;ENSG00000081277;ENSG00000096696;ENSG00000133710;ENSG00000134760;ENSG00000135046;ENSG00000136689;ENSG00000143546;ENSG00000160213;ENSG00000163220;ENSG00000182718;ENSG00000186832;ENSG00000205420","PLD1;PKP1;DSP;SPINK5;DSG1;ANXA1;IL1RN;S100A8;CSTB;S100A9;ANXA2;KRT16;KRT6A"
"17","GO:0006959","humoral immune response","An immune response mediated through a body fluid.","2.31% (4/173)",0.002363007,2.63,"ENSG00000133710;ENSG00000143546;ENSG00000163220;ENSG00000205420","SPINK5;S100A8;S100A9;KRT6A"
"18","GO:0007010","cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.","0.96% (13/1358)",0.0002881869,3.54,"ENSG00000078114;ENSG00000081277;ENSG00000096696;ENSG00000118898;ENSG00000135046;ENSG00000143546;ENSG00000163220;ENSG00000167880;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000186832;ENSG00000205420","NEBL;PKP1;DSP;PPL;ANXA1;S100A8;S100A9;EVPL;KRT6C;KRT4;KRT13;KRT16;KRT6A"
"19","GO:0007155","cell adhesion","The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.","0.89% (12/1348)",0.0009989291,3,"ENSG00000081277;ENSG00000096696;ENSG00000124466;ENSG00000133710;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000136689;ENSG00000143546;ENSG00000163220;ENSG00000182718","PKP1;DSP;LYPD3;SPINK5;DSC2;DSG3;DSG1;ANXA1;IL1RN;S100A8;S100A9;ANXA2"
"20","GO:0007275","multicellular organism development","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).","0.68% (34/5030)",2.588211e-07,6.59,"ENSG00000078114;ENSG00000081277;ENSG00000088002;ENSG00000096696;ENSG00000102554;ENSG00000118898;ENSG00000133710;ENSG00000134138;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000135373;ENSG00000136155;ENSG00000136689;ENSG00000140600;ENSG00000143546;ENSG00000143995;ENSG00000154227;ENSG00000163209;ENSG00000163220;ENSG00000163694;ENSG00000167880;ENSG00000169469;ENSG00000170423;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000171476;ENSG00000172005;ENSG00000182718;ENSG00000185052;ENSG00000186832;ENSG00000205420","NEBL;PKP1;SULT2B1;DSP;KLF5;PPL;SPINK5;MEIS2;DSC2;DSG3;DSG1;ANXA1;EHF;SCEL;IL1RN;SH3GL3;S100A8;MEIS1;CERS3;SPRR3;S100A9;RBM47;EVPL;SPRR1B;KRT78;KRT6C;KRT4;KRT13;HOPX;MAL;ANXA2;SLC24A3;KRT16;KRT6A"
"21","GO:0008219","cell death","Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538).","1.23% (25/2038)",3.760923e-10,9.42,"ENSG00000081277;ENSG00000096696;ENSG00000118898;ENSG00000133710;ENSG00000134531;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000153113;ENSG00000154227;ENSG00000156475;ENSG00000163209;ENSG00000163220;ENSG00000167880;ENSG00000169469;ENSG00000170423;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000172005;ENSG00000186832;ENSG00000197632;ENSG00000205420","PKP1;DSP;PPL;SPINK5;EMP1;DSC2;DSG3;DSG1;ANXA1;S100A8;CAST;CERS3;PPP2R2B;SPRR3;S100A9;EVPL;SPRR1B;KRT78;KRT6C;KRT4;KRT13;MAL;KRT16;SERPINB2;KRT6A"
"22","GO:0008544","epidermis development","The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species.","5.82% (21/361)",1.066879e-21,20.97,"ENSG00000081277;ENSG00000088002;ENSG00000096696;ENSG00000118898;ENSG00000133710;ENSG00000134531;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000136155;ENSG00000154227;ENSG00000163209;ENSG00000167880;ENSG00000169469;ENSG00000170423;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000186832;ENSG00000205420","PKP1;SULT2B1;DSP;PPL;SPINK5;EMP1;DSC2;DSG3;DSG1;ANXA1;SCEL;CERS3;SPRR3;EVPL;SPRR1B;KRT78;KRT6C;KRT4;KRT13;KRT16;KRT6A"
"23","GO:0009611","response to wounding","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.","1.4% (9/641)",0.0001900687,3.72,"ENSG00000096696;ENSG00000102554;ENSG00000118898;ENSG00000135046;ENSG00000143546;ENSG00000163209;ENSG00000167880;ENSG00000197632;ENSG00000205420","DSP;KLF5;PPL;ANXA1;S100A8;SPRR3;EVPL;SERPINB2;KRT6A"
"24","GO:0009620","response to fungus","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a fungus.","5.71% (2/35)",0.005737065,2.24,"ENSG00000143546;ENSG00000163220","S100A8;S100A9"
"25","GO:0009888","tissue development","The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure.","1.44% (27/1880)",9.886441e-13,12,"ENSG00000078114;ENSG00000081277;ENSG00000088002;ENSG00000096696;ENSG00000102554;ENSG00000118898;ENSG00000133710;ENSG00000134531;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000135373;ENSG00000136155;ENSG00000140519;ENSG00000143995;ENSG00000154227;ENSG00000163209;ENSG00000167880;ENSG00000169469;ENSG00000170423;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000185052;ENSG00000186832;ENSG00000205420","NEBL;PKP1;SULT2B1;DSP;KLF5;PPL;SPINK5;EMP1;DSC2;DSG3;DSG1;ANXA1;EHF;SCEL;RHCG;MEIS1;CERS3;SPRR3;EVPL;SPRR1B;KRT78;KRT6C;KRT4;KRT13;SLC24A3;KRT16;KRT6A"
"26","GO:0009913","epidermal cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis.","8.03% (20/249)",1.908913e-23,22.72,"ENSG00000081277;ENSG00000088002;ENSG00000096696;ENSG00000118898;ENSG00000133710;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000136155;ENSG00000154227;ENSG00000163209;ENSG00000167880;ENSG00000169469;ENSG00000170423;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000186832;ENSG00000205420","PKP1;SULT2B1;DSP;PPL;SPINK5;DSC2;DSG3;DSG1;ANXA1;SCEL;CERS3;SPRR3;EVPL;SPRR1B;KRT78;KRT6C;KRT4;KRT13;KRT16;KRT6A"
"27","GO:0010466","negative regulation of peptidase activity","Any process that stops or reduces the rate of peptidase activity, the hydrolysis of peptide bonds within proteins.","3% (6/200)",4.368921e-05,4.36,"ENSG00000133710;ENSG00000153113;ENSG00000160213;ENSG00000166535;ENSG00000182718;ENSG00000197632","SPINK5;CAST;CSTB;A2ML1;ANXA2;SERPINB2"
"28","GO:0010951","negative regulation of endopeptidase activity","Any process that decreases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins.","3.14% (6/191)",3.375956e-05,4.47,"ENSG00000133710;ENSG00000153113;ENSG00000160213;ENSG00000166535;ENSG00000182718;ENSG00000197632","SPINK5;CAST;CSTB;A2ML1;ANXA2;SERPINB2"
"29","GO:0012501","programmed cell death","A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.","1.26% (24/1905)",6.151531e-10,9.21,"ENSG00000081277;ENSG00000096696;ENSG00000118898;ENSG00000133710;ENSG00000134755;ENSG00000134757;ENSG00000134760;ENSG00000135046;ENSG00000143546;ENSG00000153113;ENSG00000154227;ENSG00000156475;ENSG00000163209;ENSG00000163220;ENSG00000167880;ENSG00000169469;ENSG00000170423;ENSG00000170465;ENSG00000170477;ENSG00000171401;ENSG00000172005;ENSG00000186832;ENSG00000197632;ENSG00000205420","PKP1;DSP;PPL;SPINK5;DSC2;DSG3;DSG1;ANXA1;S100A8;CAST;CERS3;PPP2R2B;SPRR3;S100A9;EVPL;SPRR1B;KRT78;KRT6C;KRT4;KRT13;MAL;KRT16;SERPINB2;KRT6A"
"30","GO:0014002","astrocyte development","The process aimed at the progression of an astrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function.","5.26% (2/38)",0.006736588,2.17,"ENSG00000143546;ENSG00000163220","S100A8;S100A9"
"31","GO:0017014","protein nitrosylation","The covalent addition of a nitric oxide group to an amino acid within a protein.","14.29% (2/14)",0.0009163896,3.04,"ENSG00000143546;ENSG00000163220","S100A8;S100A9"
