"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","Any series of molecular signals generated as a consequence of a cytoplasmic pattern recognition receptor (PRR) binding to one of its physiological ligands. PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species, or damage-associated molecular pattern (DAMPs), endogenous molecules released from damaged cells.","4.29% (3/70)",0.001422786,2.85,"ENSG00000112851;ENSG00000132466;ENSG00000134644","ERBIN;ANKRD17;PUM1"
"2","GO:0002831","regulation of response to biotic stimulus","Any process that modulates the frequency, rate, or extent of a response to biotic stimulus.","2.22% (3/135)",0.00902422,2.04,"ENSG00000132466;ENSG00000134644;ENSG00000134744","ANKRD17;PUM1;TUT4"
"3","GO:0002833","positive regulation of response to biotic stimulus","Any process that activates or increases the frequency, rate, or extent of a response to biotic stimulus.","4.76% (2/42)",0.007862669,2.1,"ENSG00000132466;ENSG00000134644","ANKRD17;PUM1"
"4","GO:0006275","regulation of DNA replication","Any process that modulates the frequency, rate or extent of DNA replication.","2.73% (3/110)",0.005133023,2.29,"ENSG00000121892;ENSG00000132466;ENSG00000197548","PDS5A;ANKRD17;ATG7"
"5","GO:0007064","mitotic sister chromatid cohesion","The cell cycle process in which the sister chromatids of a replicated chromosome are joined along the entire length of the chromosome, from their formation in S phase through metaphase during a mitotic cell cycle. This cohesion cycle is critical for high fidelity chromosome transmission.","7.41% (2/27)",0.003303974,2.48,"ENSG00000121892;ENSG00000156831","PDS5A;NSMCE2"
"6","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.","0.48% (25/5162)",0.008012277,2.1,"ENSG00000011566;ENSG00000103091;ENSG00000105738;ENSG00000112851;ENSG00000132466;ENSG00000132849;ENSG00000134644;ENSG00000134744;ENSG00000137834;ENSG00000137942;ENSG00000144596;ENSG00000148634;ENSG00000151746;ENSG00000154001;ENSG00000167693;ENSG00000169756;ENSG00000173598;ENSG00000182256;ENSG00000183579;ENSG00000187323;ENSG00000189283;ENSG00000196781;ENSG00000198911;ENSG00000204406;ENSG00000205726","MAP4K3;WDR59;SIPA1L3;ERBIN;ANKRD17;PATJ;PUM1;TUT4;SMAD6;FNBP1L;GRIP2;HERC4;BICD1;PPP2R5E;NXN;LIMS1;NUDT4;GABRG3;ZNRF3;DCC;FHIT;TLE1;SREBF2;MBD5;ITSN1"
"7","GO:0008156","negative regulation of DNA replication","Any process that stops, prevents, or reduces the frequency, rate or extent of DNA replication.","6.45% (2/31)",0.004341785,2.36,"ENSG00000121892;ENSG00000197548","PDS5A;ATG7"
"8","GO:0009890","negative regulation of biosynthetic process","Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances.","0.82% (13/1583)",0.001012721,2.99,"ENSG00000053254;ENSG00000082898;ENSG00000114439;ENSG00000121892;ENSG00000134504;ENSG00000134644;ENSG00000140836;ENSG00000142599;ENSG00000169756;ENSG00000181722;ENSG00000196781;ENSG00000197548;ENSG00000198911","FOXN3;XPO1;BBX;PDS5A;KCTD1;PUM1;ZFHX3;RERE;LIMS1;ZBTB20;TLE1;ATG7;SREBF2"
"9","GO:0009892","negative regulation of metabolic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.","0.64% (19/2980)",0.00120115,2.92,"ENSG00000053254;ENSG00000082898;ENSG00000114439;ENSG00000121892;ENSG00000134504;ENSG00000134644;ENSG00000134744;ENSG00000136770;ENSG00000137834;ENSG00000140836;ENSG00000142599;ENSG00000144677;ENSG00000167693;ENSG00000169756;ENSG00000181722;ENSG00000189283;ENSG00000196781;ENSG00000197548;ENSG00000198911","FOXN3;XPO1;BBX;PDS5A;KCTD1;PUM1;TUT4;DNAJC1;SMAD6;ZFHX3;RERE;CTDSPL;NXN;LIMS1;ZBTB20;FHIT;TLE1;ATG7;SREBF2"
"10","GO:0009966","regulation of signal transduction","Any process that modulates the frequency, rate or extent of signal transduction.","0.61% (18/2958)",0.002982111,2.53,"ENSG00000011566;ENSG00000103091;ENSG00000105738;ENSG00000112851;ENSG00000132466;ENSG00000134644;ENSG00000134744;ENSG00000137834;ENSG00000148634;ENSG00000151746;ENSG00000167693;ENSG00000169756;ENSG00000183579;ENSG00000187323;ENSG00000196781;ENSG00000198911;ENSG00000204406;ENSG00000205726","MAP4K3;WDR59;SIPA1L3;ERBIN;ANKRD17;PUM1;TUT4;SMAD6;HERC4;BICD1;NXN;LIMS1;ZNRF3;DCC;TLE1;SREBF2;MBD5;ITSN1"
"11","GO:0010558","negative regulation of macromolecule biosynthetic process","Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","0.87% (13/1486)",0.000555782,3.26,"ENSG00000053254;ENSG00000082898;ENSG00000114439;ENSG00000121892;ENSG00000134504;ENSG00000134644;ENSG00000140836;ENSG00000142599;ENSG00000169756;ENSG00000181722;ENSG00000196781;ENSG00000197548;ENSG00000198911","FOXN3;XPO1;BBX;PDS5A;KCTD1;PUM1;ZFHX3;RERE;LIMS1;ZBTB20;TLE1;ATG7;SREBF2"
"12","GO:0010605","negative regulation of macromolecule metabolic process","Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","0.7% (19/2731)",0.0003911432,3.41,"ENSG00000053254;ENSG00000082898;ENSG00000114439;ENSG00000121892;ENSG00000134504;ENSG00000134644;ENSG00000134744;ENSG00000136770;ENSG00000137834;ENSG00000140836;ENSG00000142599;ENSG00000144677;ENSG00000167693;ENSG00000169756;ENSG00000181722;ENSG00000189283;ENSG00000196781;ENSG00000197548;ENSG00000198911","FOXN3;XPO1;BBX;PDS5A;KCTD1;PUM1;TUT4;DNAJC1;SMAD6;ZFHX3;RERE;CTDSPL;NXN;LIMS1;ZBTB20;FHIT;TLE1;ATG7;SREBF2"
"13","GO:0015959","diadenosine polyphosphate metabolic process","The chemical reactions and pathways involving diadenosine polyphosphate, a derivative of the nucleoside adenosine with phosphate groups attached.","25% (2/8)",0.0002739174,3.56,"ENSG00000173598;ENSG00000189283","NUDT4;FHIT"
"14","GO:0015961","diadenosine polyphosphate catabolic process","The chemical reactions and pathways resulting in the breakdown of diadenosine polyphosphate, a derivative of the nucleoside adenosine with phosphate groups attached.","40% (2/5)",9.842594e-05,4.01,"ENSG00000173598;ENSG00000189283","NUDT4;FHIT"
"15","GO:0031324","negative regulation of cellular metabolic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances.","0.72% (18/2509)",0.0004126089,3.38,"ENSG00000053254;ENSG00000082898;ENSG00000114439;ENSG00000121892;ENSG00000134504;ENSG00000134644;ENSG00000136770;ENSG00000137834;ENSG00000140836;ENSG00000142599;ENSG00000144677;ENSG00000167693;ENSG00000169756;ENSG00000181722;ENSG00000189283;ENSG00000196781;ENSG00000197548;ENSG00000198911","FOXN3;XPO1;BBX;PDS5A;KCTD1;PUM1;DNAJC1;SMAD6;ZFHX3;RERE;CTDSPL;NXN;LIMS1;ZBTB20;FHIT;TLE1;ATG7;SREBF2"
"16","GO:0031327","negative regulation of cellular biosynthetic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells.","0.84% (13/1555)",0.0008563025,3.07,"ENSG00000053254;ENSG00000082898;ENSG00000114439;ENSG00000121892;ENSG00000134504;ENSG00000134644;ENSG00000140836;ENSG00000142599;ENSG00000169756;ENSG00000181722;ENSG00000196781;ENSG00000197548;ENSG00000198911","FOXN3;XPO1;BBX;PDS5A;KCTD1;PUM1;ZFHX3;RERE;LIMS1;ZBTB20;TLE1;ATG7;SREBF2"
"17","GO:0034405","response to fluid shear stress","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fluid shear stress stimulus. Fluid shear stress is the force acting on an object in a system where the fluid is moving across a solid surface.","6.06% (2/33)",0.004910134,2.31,"ENSG00000137834;ENSG00000198911","SMAD6;SREBF2"
"18","GO:0034616","response to laminar fluid shear stress","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a laminar fluid shear stress stimulus. Laminar fluid flow is the force acting on an object in a system where the fluid is moving across a solid surface in parallel layers. As an example, laminar shear stress can be seen where blood flows against the luminal side of blood vessel walls.","13.33% (2/15)",0.001012695,2.99,"ENSG00000137834;ENSG00000198911","SMAD6;SREBF2"
