"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000122","negative regulation of transcription by RNA polymerase II","Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.","0.992% (9/907)",0.001872463,2.73,"ENSG00000082898;ENSG00000103449;ENSG00000125740;ENSG00000141905;ENSG00000148737;ENSG00000174332;ENSG00000185920;ENSG00000198911;ENSG00000257923","XPO1;SALL1;FOSB;NFIC;TCF7L2;GLIS1;PTCH1;SREBF2;CUX1"
"2","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length.","5.714% (2/35)",0.005429215,2.27,"ENSG00000078687;ENSG00000100354","TNRC6C;TNRC6B"
"3","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.271% (13/1023)",1.126542e-05,4.95,"ENSG00000018189;ENSG00000033327;ENSG00000067715;ENSG00000105894;ENSG00000111962;ENSG00000144619;ENSG00000163539;ENSG00000179915;ENSG00000182168;ENSG00000182197;ENSG00000185920;ENSG00000187323;ENSG00000257923","RUFY3;GAB2;SYT1;PTN;UST;CNTN4;CLASP2;NRXN1;UNC5C;EXT1;PTCH1;DCC;CUX1"
"4","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.611% (12/745)",2.383797e-06,5.62,"ENSG00000018189;ENSG00000033327;ENSG00000105894;ENSG00000111962;ENSG00000144619;ENSG00000163539;ENSG00000179915;ENSG00000182168;ENSG00000182197;ENSG00000185920;ENSG00000187323;ENSG00000257923","RUFY3;GAB2;PTN;UST;CNTN4;CLASP2;NRXN1;UNC5C;EXT1;PTCH1;DCC;CUX1"
"5","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","1.508% (6/398)",0.001497539,2.82,"ENSG00000038427;ENSG00000105894;ENSG00000138829;ENSG00000174332;ENSG00000182197;ENSG00000185920","VCAN;PTN;FBN2;GLIS1;EXT1;PTCH1"
"6","GO:0001558","regulation of cell growth","Any process that modulates the frequency, rate, extent or direction of cell growth.","1.229% (5/407)",0.00891039,2.05,"ENSG00000018189;ENSG00000067715;ENSG00000163539;ENSG00000185737;ENSG00000187323","RUFY3;SYT1;CLASP2;NRG3;DCC"
"7","GO:0001649","osteoblast differentiation","The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone.","1.818% (4/220)",0.005036522,2.3,"ENSG00000038427;ENSG00000138829;ENSG00000174332;ENSG00000185920","VCAN;FBN2;GLIS1;PTCH1"
"8","GO:0001837","epithelial to mesenchymal transition","A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.","2.143% (3/140)",0.009756585,2.01,"ENSG00000148737;ENSG00000150593;ENSG00000163539","TCF7L2;PDCD4;CLASP2"
"9","GO:0001941","postsynaptic membrane organization","A process which results in the assembly, arrangement of constituent parts, or disassembly of a postsynaptic membrane, the specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft).","5.128% (2/39)",0.006707442,2.17,"ENSG00000105894;ENSG00000179915","PTN;NRXN1"
"10","GO:0001956","positive regulation of neurotransmitter secretion","Any process that activates or increases the frequency, rate or extent of the regulated release of a neurotransmitter.","11.765% (2/17)",0.001286652,2.89,"ENSG00000067715;ENSG00000165995","SYT1;CACNB2"
"11","GO:0006023","aminoglycan biosynthetic process","The chemical reactions and pathways resulting in the formation of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.","2.679% (3/112)",0.005283077,2.28,"ENSG00000038427;ENSG00000111962;ENSG00000182197","VCAN;UST;EXT1"
"12","GO:0006024","glycosaminoglycan biosynthetic process","The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars.","2.857% (3/105)",0.004412608,2.36,"ENSG00000038427;ENSG00000111962;ENSG00000182197","VCAN;UST;EXT1"
"13","GO:0006029","proteoglycan metabolic process","The chemical reactions and pathways involving proteoglycans, any glycoprotein in which the carbohydrate units are glycosaminoglycans.","4.494% (4/89)",0.0001750408,3.76,"ENSG00000038427;ENSG00000111962;ENSG00000148737;ENSG00000182197","VCAN;UST;TCF7L2;EXT1"
