"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000003","reproduction","The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.","1.039% (14/1348)",7.652023e-05,4.12,"ENSG00000064195;ENSG00000087460;ENSG00000096384;ENSG00000110092;ENSG00000110492;ENSG00000142192;ENSG00000163132;ENSG00000170315;ENSG00000170345;ENSG00000172270;ENSG00000179218;ENSG00000185650;ENSG00000196924;ENSG00000197746","DLX3;GNAS;HSP90AB1;CCND1;MDK;APP;MSX1;UBB;FOS;BSG;CALR;ZFP36L1;FLNA;PSAP"
"2","GO:0000086","G2/M transition of mitotic cell cycle","The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex.","1.581% (4/253)",0.009455316,2.02,"ENSG00000110092;ENSG00000142192;ENSG00000167552;ENSG00000196230","CCND1;APP;TUBA1A;TUBB"
"3","GO:0000165","MAPK cascade","An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell.","0.926% (8/864)",0.006734627,2.17,"ENSG00000110651;ENSG00000138080;ENSG00000141753;ENSG00000142192;ENSG00000170315;ENSG00000177606;ENSG00000185650;ENSG00000197746","CD81;EMILIN1;IGFBP4;APP;UBB;JUN;ZFP36L1;PSAP"
"4","GO:0000226","microtubule cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins.","1.186% (7/590)",0.002988861,2.52,"ENSG00000111640;ENSG00000117632;ENSG00000123416;ENSG00000167552;ENSG00000172757;ENSG00000196230;ENSG00000196924","GAPDH;STMN1;TUBA1B;TUBA1A;CFL1;TUBB;FLNA"
"5","GO:0000278","mitotic cell cycle","Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent.","0.989% (10/1011)",0.001441175,2.84,"ENSG00000110092;ENSG00000117632;ENSG00000123416;ENSG00000124766;ENSG00000142192;ENSG00000167552;ENSG00000172757;ENSG00000185650;ENSG00000196230;ENSG00000196924","CCND1;STMN1;TUBA1B;SOX4;APP;TUBA1A;CFL1;ZFP36L1;TUBB;FLNA"
"6","GO:0000302","response to reactive oxygen species","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals.","2.791% (6/215)",7.033919e-05,4.15,"ENSG00000167658;ENSG00000170345;ENSG00000177606;ENSG00000188536;ENSG00000197746;ENSG00000204628","EEF2;FOS;JUN;HBA2;PSAP;RACK1"
"7","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.075% (11/1023)",0.0003964084,3.4,"ENSG00000075624;ENSG00000096384;ENSG00000110492;ENSG00000117632;ENSG00000142192;ENSG00000163132;ENSG00000170315;ENSG00000172270;ENSG00000172757;ENSG00000179218;ENSG00000196924","ACTB;HSP90AB1;MDK;STMN1;APP;MSX1;UBB;BSG;CFL1;CALR;FLNA"
"8","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.208% (9/745)",0.0006350207,3.2,"ENSG00000075624;ENSG00000096384;ENSG00000110492;ENSG00000117632;ENSG00000142192;ENSG00000172270;ENSG00000172757;ENSG00000179218;ENSG00000196924","ACTB;HSP90AB1;MDK;STMN1;APP;BSG;CFL1;CALR;FLNA"
"9","GO:0001568","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.","1.154% (8/693)",0.001754373,2.76,"ENSG00000064195;ENSG00000110492;ENSG00000124766;ENSG00000138080;ENSG00000172270;ENSG00000177606;ENSG00000184009;ENSG00000185650","DLX3;MDK;SOX4;EMILIN1;BSG;JUN;ACTG1;ZFP36L1"
"10","GO:0001774","microglial cell activation","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor.","4.348% (2/46)",0.009994456,2,"ENSG00000142192;ENSG00000177606","APP;JUN"
