"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.58% (16/1015)",4.52263e-08,7.34,"ENSG00000044524;ENSG00000129682;ENSG00000140937;ENSG00000144619;ENSG00000153707;ENSG00000154162;ENSG00000164741;ENSG00000169306;ENSG00000169554;ENSG00000169855;ENSG00000174469;ENSG00000179915;ENSG00000184347;ENSG00000185008;ENSG00000185920;ENSG00000198947","EPHA3;FGF13;CDH11;CNTN4;PTPRD;CDH12;DLC1;IL1RAPL1;ZEB2;ROBO1;CNTNAP2;NRXN1;SLIT3;ROBO2;PTCH1;DMD"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.63% (12/736)",2.275256e-06,5.64,"ENSG00000044524;ENSG00000129682;ENSG00000140937;ENSG00000144619;ENSG00000153707;ENSG00000169306;ENSG00000169554;ENSG00000169855;ENSG00000179915;ENSG00000184347;ENSG00000185008;ENSG00000185920","EPHA3;FGF13;CDH11;CNTN4;PTPRD;IL1RAPL1;ZEB2;ROBO1;NRXN1;SLIT3;ROBO2;PTCH1"
"3","GO:0001501","skeletal system development","The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton).","1.65% (8/486)",0.0001324248,3.88,"ENSG00000038427;ENSG00000116132;ENSG00000119042;ENSG00000124813;ENSG00000134532;ENSG00000138829;ENSG00000140937;ENSG00000168542","VCAN;PRRX1;SATB2;RUNX2;SOX5;FBN2;CDH11;COL3A1"
"4","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","1.79% (7/392)",0.0002219085,3.65,"ENSG00000038427;ENSG00000119042;ENSG00000124813;ENSG00000138829;ENSG00000140937;ENSG00000184304;ENSG00000185920","VCAN;SATB2;RUNX2;FBN2;CDH11;PRKD1;PTCH1"
"5","GO:0001508","action potential","A process in which membrane potential cycles through a depolarizing spike, triggered in response to depolarization above some threshold, followed by repolarization. This cycle is driven by the flow of ions through various voltage gated channels with different thresholds and ion specificities.","2.31% (3/130)",0.008140654,2.09,"ENSG00000129682;ENSG00000165995;ENSG00000198947","FGF13;CACNB2;DMD"
"6","GO:0001554","luteolysis","The lysis or structural demise of the corpus luteum. During normal luteolysis, two closely related events occur. First, there is loss of the capacity to synthesize and secrete progesterone (functional luteolysis) followed by loss of the cells that comprise the corpus luteum (structural luteolysis). Preventing luteolysis is crucial to maintain pregnancy.","28.57% (2/7)",0.0002058559,3.69,"ENSG00000184347;ENSG00000185008","SLIT3;ROBO2"
"7","GO:0001568","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.","1.31% (9/687)",0.0002705197,3.57,"ENSG00000048052;ENSG00000112562;ENSG00000116132;ENSG00000139174;ENSG00000168542;ENSG00000169855;ENSG00000179915;ENSG00000184304;ENSG00000185008","HDAC9;SMOC2;PRRX1;PRICKLE1;COL3A1;ROBO1;NRXN1;PRKD1;ROBO2"
"8","GO:0001649","osteoblast differentiation","The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone.","2.75% (6/218)",6.266507e-05,4.2,"ENSG00000038427;ENSG00000119042;ENSG00000124813;ENSG00000138829;ENSG00000184304;ENSG00000185920","VCAN;SATB2;RUNX2;FBN2;PRKD1;PTCH1"
"9","GO:0001709","cell fate determination","A process involved in cell fate commitment. Once determination has taken place, a cell becomes committed to differentiate down a particular pathway regardless of its environment.","5.56% (2/36)",0.005823276,2.23,"ENSG00000116132;ENSG00000185920","PRRX1;PTCH1"
"10","GO:0001759","organ induction","The interaction of two or more cells or tissues that causes them to change their fates and specify the development of an organ.","8.7% (2/23)",0.002400861,2.62,"ENSG00000169855;ENSG00000185008","ROBO1;ROBO2"
