"","Clusters","major_age","age_score"
"OE","OE","09_11gw",0
"DE-Prog","DE-Prog","12_13gw",24.7786406793141
"IK/EK","IK/EK","09_11gw",16.6903117090312
"OEE","OEE","17_19gw",57.1086164799495
"SR-1","SR-1","12_13gw",24.407670544111
"SR-2","SR-2","17_19gw",52.2548748859796
"SI-1","SI-1","20_22gw",55.4585571670511
"SI-2","SI-2","17_19gw",59.4299793756073
"SI-3","SI-3","20_22gw",82.003499797991
"PA-1","PA-1","14_16gw",51.6782226988894
"PA-2","PA-2","20_22gw",61.2986805386259
"AM-1","AM-1","20_22gw",99.4561083868068
"AM-2","AM-2","20_22gw",100
