"","GO.ID","term","definition","condition.genes_frequency","condition.pvalue","condition.-log10_pvalue","condition.Significant_genes","condition.Significant_genes_symbol"
"1","GO:0000902","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.","1.38% (14/1015)",1.967372e-06,5.71,"ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000128585;ENSG00000138814;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000169760;ENSG00000182197;ENSG00000182871;ENSG00000196924","LAMB1;UST;SPTBN1;SOS1;BCL11B;MKLN1;PPP3CA;ANK3;FARP1;ENAH;NLGN1;EXT1;COL18A1;FLNA"
"2","GO:0000904","cell morphogenesis involved in differentiation","The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.","1.77% (13/736)",3.136455e-07,6.5,"ENSG00000091136;ENSG00000111962;ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000138814;ENSG00000151150;ENSG00000152767;ENSG00000154380;ENSG00000169760;ENSG00000182197;ENSG00000182871;ENSG00000196924","LAMB1;UST;SPTBN1;SOS1;BCL11B;PPP3CA;ANK3;FARP1;ENAH;NLGN1;EXT1;COL18A1;FLNA"
"3","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.","1.28% (5/392)",0.007886819,2.1,"ENSG00000073282;ENSG00000115461;ENSG00000165973;ENSG00000182197;ENSG00000184304","TP63;IGFBP5;NELL1;EXT1;PRKD1"
"4","GO:0001649","osteoblast differentiation","The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone.","1.83% (4/218)",0.005010816,2.3,"ENSG00000073282;ENSG00000115461;ENSG00000165973;ENSG00000184304","TP63;IGFBP5;NELL1;PRKD1"
"5","GO:0001844","protein insertion into mitochondrial membrane involved in apoptotic signaling pathway","The process in which a protein is incorporated into a mitochondrial membrane as the initial phase of the mitochondrial membrane permeabilization that takes place in the apoptotic signaling pathway.","6.67% (2/30)",0.004069892,2.39,"ENSG00000073282;ENSG00000175793","TP63;SFN"
"6","GO:0001942","hair follicle development","The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open.","3.37% (3/89)",0.002829711,2.55,"ENSG00000073282;ENSG00000115461;ENSG00000115904","TP63;IGFBP5;SOS1"
"7","GO:0002064","epithelial cell development","The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.","2.76% (6/217)",6.108624e-05,4.21,"ENSG00000054267;ENSG00000073282;ENSG00000127152;ENSG00000175793;ENSG00000182871;ENSG00000196924","ARID4B;TP63;BCL11B;SFN;COL18A1;FLNA"
"8","GO:0002067","glandular epithelial cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland.","4.44% (2/45)",0.008986168,2.05,"ENSG00000073282;ENSG00000182197","TP63;EXT1"
"9","GO:0003012","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers.","1.46% (6/411)",0.001832938,2.74,"ENSG00000115461;ENSG00000138814;ENSG00000144596;ENSG00000154556;ENSG00000182674;ENSG00000196924","IGFBP5;PPP3CA;GRIP2;SORBS2;KCNB2;FLNA"
"10","GO:0003334","keratinocyte development","The process whose specific outcome is the progression of a keratinocyte over time, from its formation to the mature structure.","18.18% (2/11)",0.0005347835,3.27,"ENSG00000127152;ENSG00000175793","BCL11B;SFN"
"11","GO:0003382","epithelial cell morphogenesis","The change in form that occurs when an epithelial cell progresses from its initial formation to its mature state.","5.56% (2/36)",0.005823276,2.23,"ENSG00000127152;ENSG00000182871","BCL11B;COL18A1"
"12","GO:0006913","nucleocytoplasmic transport","The directed movement of molecules between the nucleus and the cytoplasm.","1.45% (5/346)",0.004693682,2.33,"ENSG00000112182;ENSG00000138814;ENSG00000175793;ENSG00000184304;ENSG00000196924","BACH2;PPP3CA;SFN;PRKD1;FLNA"
"13","GO:0006915","apoptotic process","A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.","0.73% (13/1786)",0.003041381,2.52,"ENSG00000073282;ENSG00000111640;ENSG00000115904;ENSG00000127152;ENSG00000130939;ENSG00000139083;ENSG00000170421;ENSG00000175793;ENSG00000178568;ENSG00000182871;ENSG00000182985;ENSG00000184304;ENSG00000196924","TP63;GAPDH;SOS1;BCL11B;UBE4B;ETV6;KRT8;SFN;ERBB4;COL18A1;CADM1;PRKD1;FLNA"
"14","GO:0006928","movement of cell or subcellular component","The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.","0.65% (13/2004)",0.00816776,2.09,"ENSG00000091136;ENSG00000115306;ENSG00000115461;ENSG00000115904;ENSG00000127152;ENSG00000138814;ENSG00000154380;ENSG00000172403;ENSG00000178568;ENSG00000182197;ENSG00000182871;ENSG00000184304;ENSG00000196924","LAMB1;SPTBN1;IGFBP5;SOS1;BCL11B;PPP3CA;ENAH;SYNPO2;ERBB4;EXT1;COL18A1;PRKD1;FLNA"
"15","GO:0006935","chemotaxis","The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis).","1.05% (6/572)",0.009161604,2.04,"ENSG00000115306;ENSG00000115904;ENSG00000127152;ENSG00000154380;ENSG00000182197;ENSG00000184304","SPTBN1;SOS1;BCL11B;ENAH;EXT1;PRKD1"
"16","GO:0006996","organelle organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane.","0.55% (21/3842)",0.004370643,2.36,"ENSG00000054267;ENSG00000055609;ENSG00000073282;ENSG00000111640;ENSG00000112701;ENSG00000115306;ENSG00000128585;ENSG00000145819;ENSG00000151150;ENSG00000152520;ENSG00000152767;ENSG00000154380;ENSG00000154556;ENSG00000169760;ENSG00000170421;ENSG00000172403;ENSG00000175793;ENSG00000178568;ENSG00000182197;ENSG00000184304;ENSG00000196924","ARID4B;KMT2C;TP63;GAPDH;SENP6;SPTBN1;MKLN1;ARHGAP26;ANK3;PAN3;FARP1;ENAH;SORBS2;NLGN1;KRT8;SYNPO2;SFN;ERBB4;EXT1;PRKD1;FLNA"
