"","id","var","highest","ensemble_df","cell_percentage"
"AC128709.3","AC128709.3",3.32820117735138,"OE","ENSG00000237167",0.704225352112676
"LINC01303","LINC01303",3.32820117735138,"OE","ENSG00000250548",0.352112676056338
"LINC00520","LINC00520",3.32820117735138,"OE","ENSG00000258791",0.352112676056338
"RF01956","RF01956",3.32820117735138,"OE","ENSG00000278050",0.352112676056338
"SPRR5","SPRR5",3.32820117735138,"OE","ENSG00000283227",0.704225352112676
"AOC1","AOC1",3.32820117735137,"OE","ENSG00000002726",0.352112676056338
"ST6GALNAC1","ST6GALNAC1",3.32820117735137,"OE","ENSG00000070526",0.352112676056338
"NFKBIB","NFKBIB",3.32820117735137,"OE","ENSG00000104825",0.352112676056338
"AL021546.1","AL021546.1",3.32820117735137,"OE","ENSG00000111780",0.352112676056338
"AADAC","AADAC",3.32820117735137,"OE","ENSG00000114771",0.704225352112676
"TAS2R9","TAS2R9",3.32820117735137,"OE","ENSG00000121381",0.352112676056338
"PI3","PI3",3.32820117735137,"OE","ENSG00000124102",0.352112676056338
"ZNF831","ZNF831",3.32820117735137,"OE","ENSG00000124203",0.352112676056338
"PAX1","PAX1",3.32820117735137,"OE","ENSG00000125813",0.352112676056338
"KRT36","KRT36",3.32820117735137,"OE","ENSG00000126337",0.352112676056338
"ULBP2","ULBP2",3.32820117735137,"OE","ENSG00000131015",0.352112676056338
"NKX2-1","NKX2-1",3.32820117735137,"OE","ENSG00000136352",0.352112676056338
"TTLL8","TTLL8",3.32820117735137,"OE","ENSG00000138892",0.352112676056338
"KERA","KERA",3.32820117735137,"OE","ENSG00000139330",0.352112676056338
"SPINK7","SPINK7",3.32820117735137,"OE","ENSG00000145879",0.704225352112676
"TDO2","TDO2",3.32820117735137,"OE","ENSG00000151790",0.352112676056338
"FUT6","FUT6",3.32820117735137,"OE","ENSG00000156413",1.40845070422535
"CRYBA2","CRYBA2",3.32820117735137,"OE","ENSG00000163499",0.352112676056338
"DNASE1L3","DNASE1L3",3.32820117735137,"OE","ENSG00000163687",0.352112676056338
"LIPC","LIPC",3.32820117735137,"OE","ENSG00000166035",0.352112676056338
"AL357033.1","AL357033.1",3.32820117735137,"OE","ENSG00000167046",0.352112676056338
"ADRB2","ADRB2",3.32820117735137,"OE","ENSG00000169252",1.40845070422535
"ZNF280A","ZNF280A",3.32820117735137,"OE","ENSG00000169548",0.352112676056338
"MUC17","MUC17",3.32820117735137,"OE","ENSG00000169876",0.352112676056338
"RBMXL2","RBMXL2",3.32820117735137,"OE","ENSG00000170748",0.352112676056338
"KRT2","KRT2",3.32820117735137,"OE","ENSG00000172867",0.352112676056338
"CST6","CST6",3.32820117735137,"OE","ENSG00000175315",0.704225352112676
"FOXL1","FOXL1",3.32820117735137,"OE","ENSG00000176678",0.352112676056338
"ODF3B","ODF3B",3.32820117735137,"OE","ENSG00000177989",1.05633802816901
"MYLPF","MYLPF",3.32820117735137,"OE","ENSG00000180209",0.352112676056338
"LINC00304","LINC00304",3.32820117735137,"OE","ENSG00000180422",0.352112676056338
"HEPHL1","HEPHL1",3.32820117735137,"OE","ENSG00000181333",0.352112676056338
"OR2V1","OR2V1",3.32820117735137,"OE","ENSG00000185372",0.352112676056338
"LCE3E","LCE3E",3.32820117735137,"OE","ENSG00000185966",0.352112676056338
"KRTAP17-1","KRTAP17-1",3.32820117735137,"OE","ENSG00000186860",0.704225352112676
"C10orf99","C10orf99",3.32820117735137,"OE","ENSG00000188373",1.40845070422535
"SBSN","SBSN",3.32820117735137,"OE","ENSG00000189001",1.76056338028169
"RNF222","RNF222",3.32820117735137,"OE","ENSG00000189051",0.352112676056338
"OTUD6A","OTUD6A",3.32820117735137,"OE","ENSG00000189401",0.352112676056338
"THEM5","THEM5",3.32820117735137,"OE","ENSG00000196407",0.352112676056338
"CYP2F1","CYP2F1",3.32820117735137,"OE","ENSG00000197446",0.352112676056338
"TOR4A","TOR4A",3.32820117735137,"OE","ENSG00000198113",0.704225352112676
"MIR335","MIR335",3.32820117735137,"OE","ENSG00000199043",0.352112676056338
"RNU4-80P","RNU4-80P",3.32820117735137,"OE","ENSG00000200070",0.352112676056338
"SNORA38B","SNORA38B",3.32820117735137,"OE","ENSG00000200394",0.352112676056338
"RNU6-1251P","RNU6-1251P",3.32820117735137,"OE","ENSG00000201372",0.352112676056338
"SPRR2E","SPRR2E",3.32820117735137,"OE","ENSG00000203785",0.704225352112676
"BTBD17","BTBD17",3.32820117735137,"OE","ENSG00000204347",0.352112676056338
"C6orf15","C6orf15",3.32820117735137,"OE","ENSG00000204542",0.352112676056338
"KRT25","KRT25",3.32820117735137,"OE","ENSG00000204897",0.704225352112676
"CD177","CD177",3.32820117735137,"OE","ENSG00000204936",0.352112676056338
"AC108134.1","AC108134.1",3.32820117735137,"OE","ENSG00000205890",0.352112676056338
"RNU6-217P","RNU6-217P",3.32820117735137,"OE","ENSG00000206891",0.352112676056338
"RNU6-514P","RNU6-514P",3.32820117735137,"OE","ENSG00000206935",0.352112676056338
"RF00393","RF00393",3.32820117735137,"OE","ENSG00000206977",0.352112676056338
"RNU6-167P","RNU6-167P",3.32820117735137,"OE","ENSG00000207019",1.05633802816901
"RF00151","RF00151",3.32820117735137,"OE","ENSG00000212615",0.352112676056338
"KRTAP16-1","KRTAP16-1",3.32820117735137,"OE","ENSG00000212657",0.352112676056338
"TOMM6","TOMM6",3.32820117735137,"OE","ENSG00000214736",0.352112676056338
