"","OE","DE-Prog","IK/EK","OEE","SR-1","SR-2","SI-1","SI-2","SI-3","PA-1","PA-2","AM-1","AM-2"
"1","cornification","cell differentiation","anatomical structure development","response to oxygen-containing compound","cellular response to endogenous stimulus","neurogenesis","protein folding in endoplasmic reticulum","cell-substrate adherens junction assembly","actin cytoskeleton organization","generation of neurons","diadenosine polyphosphate catabolic process","extracellular structure organization","amelogenesis"
"2","keratinization","multicellular organism development","multicellular organism development","response to organic substance","cellular response to organic substance","generation of neurons","symbiont process","focal adhesion assembly","actin filament-based process","neuron differentiation","negative regulation of nitrogen compound metabolic process","anatomical structure morphogenesis","system development"
"3","keratinocyte differentiation","system development","tissue morphogenesis","response to lipid","response to endogenous stimulus","nervous system development","interspecies interaction between organisms","adherens junction organization","cytoskeleton organization","neurogenesis","negative regulation of cellular process","system development","odontogenesis of dentin-containing tooth"
"4","epidermal cell differentiation","cellular developmental process","developmental process","cellular response to chemical stimulus","cellular response to chemical stimulus","cell adhesion","regulation of biological quality","adherens junction assembly","actin filament organization","nervous system development","diadenosine polyphosphate metabolic process","developmental process","odontogenesis"
"5","epidermis development","anatomical structure development","kidney epithelium development","response to chemical","enzyme linked receptor protein signaling pathway","biological adhesion","regulation of protein transport","axonogenesis","supramolecular fiber organization","neuron development","positive regulation of RIG-I signaling pathway","odontogenesis","multicellular organism development"
"6","skin development","developmental process","renal system development","response to ketone","dedifferentiation","neuron differentiation","regulation of peptide transport","cell-substrate junction assembly","response to cortisol","multicellular organism development","negative regulation of macromolecule metabolic process","multicellular organism development","hemidesmosome assembly"
"7","epithelial cell differentiation","tissue development","system development","cellular response to oxygen-containing compound","cell dedifferentiation","neuron projection development","maintenance of protein location","axon development","regulation of actin filament-based process","system development","negative regulation of cellular metabolic process","odontogenesis of dentin-containing tooth","animal organ morphogenesis"
"8","epithelium development","cellular component organization","morphogenesis of an epithelium","cell development","cell surface receptor signaling pathway","cell development","viral process","regulation of smooth muscle contraction","establishment or maintenance of cell polarity","neuron projection morphogenesis","negative regulation of macromolecule biosynthetic process","anatomical structure development","anatomical structure morphogenesis"
"9","tissue development","cell-cell adhesion","urogenital system development","peptidyl-lysine hydroxylation","cellular response to nitrogen compound","neuron development","regulation of establishment of protein localization","muscle system process","regulation of actin cytoskeleton organization","plasma membrane bounded cell projection morphogenesis","negative regulation of cellular biosynthetic process","extracellular matrix organization","developmental process"
"10","cell death","movement of cell or subcellular component","multicellular organismal process","endoplasmic reticulum unfolded protein response","response to organic substance","anatomical structure morphogenesis","protein stabilization","regulation of cell projection organization","positive regulation of actin filament bundle assembly","cell projection morphogenesis","response to laminar fluid shear stress","cellular developmental process","cell differentiation"
"11","programmed cell death","animal organ development","endochondral bone growth","response to drug","collagen-activated tyrosine kinase receptor signaling pathway","cellular developmental process","posttranscriptional regulation of gene expression","regulation of focal adhesion assembly","regulation of smooth muscle cell migration","cell development","negative regulation of biosynthetic process","multicellular organismal process","anatomical structure formation involved in morphogenesis"
"12","cell differentiation","cellular component organization or biogenesis","morphogenesis of a branching structure","central nervous system development","response to chemical","neuron projection morphogenesis","cellular response to chemical stimulus","regulation of cell-substrate junction assembly","regulation of actin filament organization","cell part morphogenesis","negative regulation of metabolic process","cell morphogenesis","enamel mineralization"
"13","cellular developmental process","multicellular organismal process","anatomical structure morphogenesis","response to estradiol","movement of cell or subcellular component","neuron recognition","positive regulation of protein transport","cell junction organization","negative regulation of cell migration","neuron projection development","negative regulation of biological process","cellular component morphogenesis","cellular developmental process"
"14","intermediate filament cytoskeleton organization","epidermis development","bone growth","cellular response to unfolded protein","cellular response to growth factor stimulus","plasma membrane bounded cell projection morphogenesis","maintenance of protein location in cell","regulation of muscle system process","smooth muscle cell migration","positive regulation of neurogenesis","cytoplasmic pattern recognition receptor signaling pathway","tissue development","anatomical structure development"
"15","intermediate filament-based process","cell motility","kidney development","response to inorganic substance","collagen-activated signaling pathway","regulation of cell development","cellular response to interleukin-4","muscle contraction","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","cell morphogenesis involved in neuron differentiation","regulation of RIG-I signaling pathway","ossification","transmembrane receptor protein tyrosine kinase signaling pathway"
"16","anatomical structure development","localization of cell","neuron projection morphogenesis","cellular response to lipid","cellular response to organonitrogen compound","cell projection morphogenesis","response to interleukin-4","regulation of adherens junction organization","negative regulation of cell motility","axonogenesis","negative regulation of cellular macromolecule biosynthetic process","animal organ development","tooth mineralization"
"17","multicellular organism development","locomotion","plasma membrane bounded cell projection morphogenesis","nervous system development","blood vessel development","cell part morphogenesis","cellular response to organic substance","cell morphogenesis involved in neuron differentiation","cell morphogenesis involved in differentiation","anatomical structure morphogenesis","negative regulation of nucleobase-containing compound metabolic process","cell differentiation","tripeptide transmembrane transport"
"18","developmental process","cell migration","cell projection morphogenesis","tissue development","regulation of biological process","forebrain development","positive regulation of establishment of protein localization","system development","ameboidal-type cell migration","anatomical structure development","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","cell-substrate adhesion","regulation of enamel mineralization"
"19","animal organ development","epithelial cell differentiation","appendage morphogenesis","epithelial cell proliferation","cellular response to transforming growth factor beta stimulus","regulation of cell differentiation","telomere maintenance via telomere lengthening","regulation of muscle contraction","cellular component morphogenesis","axon development","regulation of cellular process","cell adhesion","oligopeptide import across plasma membrane"
"20","peptide cross-linking","skin development","limb morphogenesis","relaxation of cardiac muscle","tissue development","multicellular organism development","maintenance of location in cell","cell junction assembly","retrograde axonal transport","receptor localization to synapse","cellular response to stimulus","biological adhesion","dipeptide import across plasma membrane"
"21","system development","hemidesmosome assembly","branching morphogenesis of an epithelial tube","cellular response to topologically incorrect protein","response to growth factor","central nervous system development","response to organic substance","regulation of multicellular organismal process","regulation of establishment of cell polarity","regulation of neuron differentiation","response to stimulus","reverse cholesterol transport","animal organ development"
"22","regulation of endopeptidase activity","regulation of multicellular organismal development","tissue development","gland development","transmembrane receptor protein tyrosine kinase signaling pathway","system development","programmed cell death","neuron projection morphogenesis","regulation of response to wounding","positive regulation of nervous system development","RIG-I signaling pathway","locomotion","tripeptide transport"
"23","multicellular organismal process","cornification","cell part morphogenesis","brain development","negative regulation of multicellular organismal process","brain development","multi-organism process","axon guidance","negative regulation of smooth muscle cell migration","regulation of neurogenesis","regulation of signal transduction","skeletal system development","neuron projection development"
"24","regulation of peptidase activity","cell development","nervous system development","rhythmic process","response to transforming growth factor beta","cell morphogenesis","response to chemical","neuron projection guidance","muscle cell migration","positive regulation of cell development","mitotic sister chromatid cohesion","regulation of anatomical structure morphogenesis","dipeptide transmembrane transport"
"25","negative regulation of endopeptidase activity","regulation of developmental process","ureteric bud development","protein metabolic process","vasculature development","regulation of multicellular organismal development","response to unfolded protein","plasma membrane bounded cell projection morphogenesis","cell adhesion","negative regulation of neuron differentiation","regulation of biological process","movement of cell or subcellular component","dipeptide transport"
"26","negative regulation of peptidase activity","nervous system development","mesonephric epithelium development","negative regulation of cell cycle arrest","cardiovascular system development","anatomical structure development","cytoskeleton organization","cell projection morphogenesis","T cell lineage commitment","cell differentiation","cytoplasmic pattern recognition receptor signaling pathway in response to virus","regulation of developmental process","actin cytoskeleton organization"
"27","wound healing","response to water","mesonephric tubule development","response to endoplasmic reticulum stress","response to oxygen-containing compound","plasma membrane bounded cell projection organization","organelle organization","regulation of plasma membrane bounded cell projection organization","epithelial cell migration","developmental process","negative regulation of DNA replication","blood vessel development","enzyme linked receptor protein signaling pathway"
"28","neutrophil degranulation","neurogenesis","cell morphogenesis involved in neuron differentiation","cellular response to organic substance","cellular response to stimulus","cell differentiation","morphogenesis of an epithelium","regulation of cell junction assembly","biological adhesion","cell morphogenesis involved in differentiation","response to fluid shear stress","tube morphogenesis","tissue development"
"29","neutrophil activation involved in immune response","keratinization","mesonephros development","response to unfolded protein","cell motility","regulation of nervous system development","regulation of protein stability","cell part morphogenesis","epithelium migration","motor neuron axon guidance","regulation of DNA replication","cell motility","genitalia morphogenesis"
"30","neutrophil mediated immunity","generation of neurons","regulation of nervous system development","negative regulation of cell cycle","localization of cell","head development","virion attachment to host cell","smooth muscle contraction","regulation of establishment or maintenance of cell polarity","regulation of nervous system development","negative regulation of nucleic acid-templated transcription","localization of cell","regulation of tooth mineralization"
"31","neutrophil activation","epithelium development","appendage development","cell cycle process","circulatory system development","cell projection organization","positive regulation of transport","regulation of system process","tissue migration","regulation of cell development","negative regulation of RNA biosynthetic process","vasculature development","neuron development"
"32","granulocyte activation","cell adhesion","limb development","cellular protein metabolic process","cellular response to oxygen-containing compound","regulation of developmental process","cellular component organization","regulation of axonogenesis","regulation of small GTPase mediated signal transduction","negative regulation of neuron projection development","biological regulation","cardiovascular system development","oligopeptide transmembrane transport"
"33","antimicrobial humoral response","biological adhesion","regulation of synapse assembly","head development","cell migration","regulation of neurogenesis","regulation of DNA biosynthetic process","cell morphogenesis involved in differentiation","negative regulation of cellular component movement","cellular component morphogenesis","positive regulation of pri-miRNA transcription by RNA polymerase II","regulation of multicellular organismal process","plasma membrane bounded cell projection organization"
"34","leukocyte degranulation","regulation of synapse organization","morphogenesis of a branching epithelium","anion transport","extracellular matrix organization","cellular component morphogenesis","ATF6-mediated unfolded protein response","nervous system development","negative regulation of locomotion","axonogenesis involved in innervation","positive regulation of response to biotic stimulus","regulation of odontogenesis","actin filament-based process"
"35","regulation of microvillus assembly","cytoskeleton organization","neuron development","epithelium development","regulation of cellular process","movement of cell or subcellular component","sequestering of actin monomers","cytoplasm organization","negative regulation of plasma membrane bounded cell projection assembly","cellular developmental process","signal transduction","odontoblast differentiation","oligopeptide transport"
"36","bundle of His cell-Purkinje myocyte adhesion involved in cell communication","anatomical structure morphogenesis","embryonic skeletal system development","fatty acid transport","negative regulation of developmental process","cell recognition","positive regulation of gastrulation","detection of mechanical stimulus","cell-substrate junction assembly","plasma membrane bounded cell projection organization","cellular macromolecule metabolic process","negative regulation of amyloid fibril formation","cell projection organization"
