"","id","var","highest","ensemble_df","cell_percentage"
"FGF4","FGF4",2.04124145231932,"DP","ENSG00000075388",0.0267881060809001
"RNU6-107P","RNU6-107P",2.04124145231932,"DP","ENSG00000252452",0.0535762121618002
"LINC01532","LINC01532",2.04124145231932,"DP","ENSG00000267014",0.0267881060809001
"C2orf83","C2orf83",2.04124145231932,"DP","ENSG00000042304",0.0267881060809001
"MRPS24","MRPS24",2.04124145231932,"DP","ENSG00000062582",0.0535762121618002
"ASAP3","ASAP3",2.04124145231932,"DP","ENSG00000088280",0.0267881060809001
"F11","F11",2.04124145231932,"DP","ENSG00000088926",0.0267881060809001
"TREM2","TREM2",2.04124145231932,"DP","ENSG00000095970",0.0267881060809001
"APOBEC3H","APOBEC3H",2.04124145231932,"DP","ENSG00000100298",0.0267881060809001
"CTSG","CTSG",2.04124145231932,"DP","ENSG00000100448",0.0267881060809001
"SLC10A1","SLC10A1",2.04124145231932,"DP","ENSG00000100652",0.0535762121618002
"RS1","RS1",2.04124145231932,"DP","ENSG00000102104",0.0535762121618002
"ACOD1","ACOD1",2.04124145231932,"DP","ENSG00000102794",0.0267881060809001
"PRSS33","PRSS33",2.04124145231932,"DP","ENSG00000103355",0.0267881060809001
"KCNA7","KCNA7",2.04124145231932,"DP","ENSG00000104848",0.0267881060809001
"FCER2","FCER2",2.04124145231932,"DP","ENSG00000104921",0.0535762121618002
"SULT2A1","SULT2A1",2.04124145231932,"DP","ENSG00000105398",0.0267881060809001
"IL23A","IL23A",2.04124145231932,"DP","ENSG00000110944",0.0267881060809001
"IL26","IL26",2.04124145231932,"DP","ENSG00000111536",0.0267881060809001
"IMPG1","IMPG1",2.04124145231932,"DP","ENSG00000112706",0.0535762121618002
"AGXT2","AGXT2",2.04124145231932,"DP","ENSG00000113492",0.0267881060809001
"CDX1","CDX1",2.04124145231932,"DP","ENSG00000113722",0.0267881060809001
"ROPN1B","ROPN1B",2.04124145231932,"DP","ENSG00000114547",0.0267881060809001
"SLC25A2","SLC25A2",2.04124145231932,"DP","ENSG00000120329",0.0267881060809001
"LINC00544","LINC00544",2.04124145231932,"DP","ENSG00000122043",0.0267881060809001
"KIAA0087","KIAA0087",2.04124145231932,"DP","ENSG00000122548",0.0267881060809001
"GNRH2","GNRH2",2.04124145231932,"DP","ENSG00000125787",0.0267881060809001
"LRRN4","LRRN4",2.04124145231932,"DP","ENSG00000125872",0.0535762121618002
"CPA4","CPA4",2.04124145231932,"DP","ENSG00000128510",0.0535762121618002
"HIGD1B","HIGD1B",2.04124145231932,"DP","ENSG00000131097",0.0267881060809001
"CFHR4","CFHR4",2.04124145231932,"DP","ENSG00000134365",0.0267881060809001
"USP26","USP26",2.04124145231932,"DP","ENSG00000134588",0.0267881060809001
"CHST5","CHST5",2.04124145231932,"DP","ENSG00000135702",0.0267881060809001
"PDX1","PDX1",2.04124145231932,"DP","ENSG00000139515",0.0267881060809001
"RLBP1","RLBP1",2.04124145231932,"DP","ENSG00000140522",0.0267881060809001
"KLK3","KLK3",2.04124145231932,"DP","ENSG00000142515",0.0267881060809001
"MAEL","MAEL",2.04124145231932,"DP","ENSG00000143194",0.0535762121618002
"F13B","F13B",2.04124145231932,"DP","ENSG00000143278",0.0267881060809001
"NAT8","NAT8",2.04124145231932,"DP","ENSG00000144035",0.0267881060809001
"ADGRG7","ADGRG7",2.04124145231932,"DP","ENSG00000144820",0.0267881060809001
"TM4SF19","TM4SF19",2.04124145231932,"DP","ENSG00000145107",0.0267881060809001
"GPR174","GPR174",2.04124145231932,"DP","ENSG00000147138",0.0803643182427002
"SLC22A8","SLC22A8",2.04124145231932,"DP","ENSG00000149452",0.0267881060809001
"VENTX","VENTX",2.04124145231932,"DP","ENSG00000151650",0.0267881060809001
"CATSPER3","CATSPER3",2.04124145231932,"DP","ENSG00000152705",0.0267881060809001
"GPR61","GPR61",2.04124145231932,"DP","ENSG00000156097",0.0267881060809001
"PIP","PIP",2.04124145231932,"DP","ENSG00000159763",0.0267881060809001
"CCR5","CCR5",2.04124145231932,"DP","ENSG00000160791",0.0267881060809001
"CD300LG","CD300LG",2.04124145231932,"DP","ENSG00000161649",0.0267881060809001
"BSND","BSND",2.04124145231932,"DP","ENSG00000162399",0.0267881060809001
"FCRL4","FCRL4",2.04124145231932,"DP","ENSG00000163518",0.0267881060809001
"TRAT1","TRAT1",2.04124145231932,"DP","ENSG00000163519",0.0535762121618002
"PRDM9","PRDM9",2.04124145231932,"DP","ENSG00000164256",0.0267881060809001
"TMEM52B","TMEM52B",2.04124145231932,"DP","ENSG00000165685",0.0535762121618002
"SPIC","SPIC",2.04124145231932,"DP","ENSG00000166211",0.0267881060809001
"OR2D2","OR2D2",2.04124145231932,"DP","ENSG00000166368",0.0535762121618002
"CDH16","CDH16",2.04124145231932,"DP","ENSG00000166589",0.0267881060809001
"MYO1A","MYO1A",2.04124145231932,"DP","ENSG00000166866",0.0267881060809001
"KCNG4","KCNG4",2.04124145231932,"DP","ENSG00000168418",0.0267881060809001
"CRYGA","CRYGA",2.04124145231932,"DP","ENSG00000168582",0.0267881060809001
"SFTPB","SFTPB",2.04124145231932,"DP","ENSG00000168878",0.0267881060809001
"TAS2R1","TAS2R1",2.04124145231932,"DP","ENSG00000169777",0.0267881060809001
"ZNF35","ZNF35",2.04124145231932,"DP","ENSG00000169981",0.0267881060809001
"OR2M4","OR2M4",2.04124145231932,"DP","ENSG00000171180",0.0267881060809001
"MUC7","MUC7",2.04124145231932,"DP","ENSG00000171195",0.0267881060809001
"OR1L8","OR1L8",2.04124145231932,"DP","ENSG00000171496",0.0267881060809001
"C11orf40","C11orf40",2.04124145231932,"DP","ENSG00000171987",0.0267881060809001
"PRL","PRL",2.04124145231932,"DP","ENSG00000172179",0.0267881060809001
"THEMIS","THEMIS",2.04124145231932,"DP","ENSG00000172673",0.0267881060809001
"C1orf100","C1orf100",2.04124145231932,"DP","ENSG00000173728",0.0267881060809001
"C5orf46","C5orf46",2.04124145231932,"DP","ENSG00000178776",0.0535762121618002
"SIGLECL1","SIGLECL1",2.04124145231932,"DP","ENSG00000179213",0.0267881060809001
"RNF151","RNF151",2.04124145231932,"DP","ENSG00000179580",0.0267881060809001
"CCR8","CCR8",2.04124145231932,"DP","ENSG00000179934",0.0267881060809001
"C10orf91","C10orf91",2.04124145231932,"DP","ENSG00000180066",0.0267881060809001
"WFDC9","WFDC9",2.04124145231932,"DP","ENSG00000180205",0.0267881060809001
"DEFB124","DEFB124",2.04124145231932,"DP","ENSG00000180383",0.0267881060809001
"S1PR5","S1PR5",2.04124145231932,"DP","ENSG00000180739",0.0267881060809001
"MAP6D1","MAP6D1",2.04124145231932,"DP","ENSG00000180834",0.0267881060809001
"OR52N5","OR52N5",2.04124145231932,"DP","ENSG00000181009",0.0267881060809001
