"","DEM","SOB","DF","DP","POB","OB"
"1","generation of neurons","cellular response to chemical stimulus","extracellular matrix organization","nervous system development","cellular component morphogenesis","extracellular matrix organization"
"2","neuron differentiation","response to organic substance","extracellular structure organization","neurogenesis","multicellular organism development","extracellular structure organization"
"3","neurogenesis","cellular response to organic substance","external encapsulating structure organization","generation of neurons","multicellular organismal process","external encapsulating structure organization"
"4","neuron projection development","tissue development","endodermal cell differentiation","neuron differentiation","system development","anatomical structure morphogenesis"
"5","system development","response to chemical","endoderm formation","anatomical structure morphogenesis","anatomical structure development","system development"
"6","multicellular organism development","animal organ development","tissue development","neuron projection development","neuron projection morphogenesis","skeletal system development"
"7","neuron development","cell surface receptor signaling pathway","endoderm development","cell morphogenesis","plasma membrane bounded cell projection morphogenesis","tissue development"
"8","nervous system development","response to cytokine","formation of primary germ layer","cell-cell adhesion via plasma-membrane adhesion molecules","developmental process","odontogenesis"
"9","anatomical structure development","supramolecular fiber organization","gastrulation","regulation of anatomical structure morphogenesis","cell projection morphogenesis","animal organ development"
"10","cell development","regulation of biological quality","anatomical structure morphogenesis","regulation of developmental process","cell part morphogenesis","multicellular organism development"
"11","cell adhesion","response to oxygen-containing compound","cell migration","neuron development","anatomical structure morphogenesis","anatomical structure development"
"12","biological adhesion","positive regulation of cellular process","cell motility","anatomical structure development","cell morphogenesis involved in neuron differentiation","biomineral tissue development"
"13","regulation of neuron projection development","epithelium development","localization of cell","synaptic membrane adhesion","animal organ development","biomineralization"
"14","cell surface receptor signaling pathway","response to organic cyclic compound","locomotion","cell morphogenesis involved in neuron differentiation","cell differentiation","developmental process"
"15","cell differentiation","cell death","regulation of cell migration","cell adhesion","axon development","cellular component organization"
"16","developmental process","cytoskeleton organization","movement of cell or subcellular component","multicellular organism development","cellular developmental process","cartilage development"
"17","plasma membrane bounded cell projection organization","multicellular organism development","cell adhesion","biological adhesion","neurogenesis","cellular component organization or biogenesis"
"18","cellular developmental process","response to endogenous stimulus","regulation of cell motility","developmental growth","cell development","animal organ morphogenesis"
"19","cell projection organization","system development","biological adhesion","neuron projection morphogenesis","neuron projection development","ossification"
"20","multicellular organismal process","positive regulation of biological process","multicellular organism development","cell junction assembly","chemotaxis","developmental growth"
"21","anatomical structure morphogenesis","response to stress","embryonic morphogenesis","plasma membrane bounded cell projection morphogenesis","taxis","multicellular organismal process"
