"Barcode"	"Cluster"
"1"	"D11_B05_P1-F11_LIG235_5_1"	"DE"
"2"	"H06_E11_P1-F09_LIG193_5_1"	"DE"
"3"	"F06_E02_P1-F09_LIG169_5_1"	"DE"
"4"	"E11_B07_P3-G03_LIG153_5_1"	"DE"
"5"	"H06_E04_P1-F12_LIG104_5_1"	"DE"
"6"	"C10_A05_P1-F09_LIG91_5_1"	"DE"
"7"	"E03_C07_P1-F11_LIG359_5_1"	"DE"
"8"	"F10_A09_P1-F11_LIG382_5_1"	"DE"
"9"	"G05_D04_P1-F12_LIG169_5_1"	"DE"
"10"	"D12_G02_P3-G03_LIG130_5_1"	"DE"
"11"	"A05_D06_P3-G02_LIG82_5_1"	"DE"
"12"	"A10_A06_P1-F09_LIG265_5_1"	"DE"
"13"	"G11_B03_P1-F12_LIG171_5_1"	"DE"
"14"	"A06_E05_P1-F12_LIG147_5_1"	"DE"
"15"	"C10_A05_P1-F09_LIG242_5_1"	"DE"
"16"	"C02_B03_P1-F12_LIG129_5_1"	"DE"
"17"	"G05_D04_P1-F10_LIG115_5_1"	"DE"
"18"	"C02_B11_P1-F09_LIG306_5_1"	"DE"
"19"	"G02_B07_P3-G03_LIG202_5_1"	"DE"
"20"	"C03_C02_P1-F09_LIG88_5_1"	"DE"
"21"	"F10_A04_P3-G03_LIG36_5_1"	"DE"
"22"	"B10_A08_P1-F11_LIG121_5_1"	"DE"
"23"	"D03_C11_P1-F10_LIG230_5_1"	"DE"
"24"	"D11_B09_P1-F10_LIG124_5_1"	"DE"
"25"	"D10_A03_P1-F10_LIG95_5_1"	"DE"
"26"	"B10_A02_P1-F09_LIG181_5_1"	"DE"
"27"	"B06_E08_P1-F12_LIG184_5_1"	"DE"
"28"	"H06_E05_P1-F09_LIG111_5_1"	"DE"
"29"	"G11_F03_P1-F09_LIG5_5_1"	"DE"
"30"	"G02_B12_P1-F11_LIG49_5_1"	"DE"
"31"	"A02_B06_P1-F09_LIG263_5_1"	"DE"
"32"	"B10_A08_P3-G03_LIG168_5_1"	"DE"
"33"	"E02_B01_P1-F09_LIG240_5_1"	"DE"
"34"	"A10_A09_P1-F11_LIG309_5_1"	"DE"
"35"	"C02_B04_P1-F12_LIG66_5_1"	"DE"
"36"	"F02_B12_P3-G03_LIG137_5_1"	"DE"
